[s],CH1[V]
-9.92480e-04,7.96547E-01
-9.92440e-04,7.96609E-01
-9.92400e-04,7.96703E-01
-9.92360e-04,7.96703E-01
-9.92320e-04,7.96797E-01
-9.92280e-04,7.96891E-01
-9.92240e-04,7.97078E-01
-9.92200e-04,7.97141E-01
-9.92160e-04,7.97203E-01
-9.92120e-04,7.97359E-01
-9.92080e-04,7.97547E-01
-9.92040e-04,7.97609E-01
-9.92000e-04,7.97734E-01
-9.91960e-04,7.97578E-01
-9.91920e-04,7.97734E-01
-9.91880e-04,7.98734E-01
-9.91840e-04,7.98516E-01
-9.91800e-04,7.97891E-01
-9.91760e-04,7.98078E-01
-9.91720e-04,7.98578E-01
-9.91680e-04,7.98578E-01
-9.91640e-04,7.98516E-01
-9.91600e-04,7.98859E-01
-9.91560e-04,7.99047E-01
-9.91520e-04,7.98984E-01
-9.91480e-04,7.98984E-01
-9.91440e-04,7.99141E-01
-9.91400e-04,7.99266E-01
-9.91360e-04,7.99266E-01
-9.91320e-04,7.99297E-01
-9.91280e-04,7.99391E-01
-9.91240e-04,7.99391E-01
-9.91200e-04,7.99422E-01
-9.91160e-04,7.99547E-01
-9.91120e-04,7.99641E-01
-9.91080e-04,7.99672E-01
-9.91040e-04,7.99828E-01
-9.91000e-04,7.99922E-01
-9.90960e-04,7.99953E-01
-9.90920e-04,8.00016E-01
-9.90880e-04,8.00078E-01
-9.90840e-04,8.00109E-01
-9.90800e-04,8.00203E-01
-9.90760e-04,8.00297E-01
-9.90720e-04,8.00391E-01
-9.90680e-04,8.00547E-01
-9.90640e-04,8.00641E-01
-9.90600e-04,8.00734E-01
-9.90560e-04,8.00734E-01
-9.90520e-04,8.00797E-01
-9.90480e-04,8.00922E-01
-9.90440e-04,8.01016E-01
-9.90400e-04,8.01109E-01
-9.90360e-04,8.01172E-01
-9.90320e-04,8.01172E-01
-9.90280e-04,8.01328E-01
-9.90240e-04,8.01391E-01
-9.90200e-04,8.01484E-01
-9.90160e-04,8.01609E-01
-9.90120e-04,8.01578E-01
-9.90080e-04,8.01734E-01
-9.90040e-04,8.01734E-01
-9.90000e-04,8.01797E-01
-9.89960e-04,8.02078E-01
-9.89920e-04,8.02016E-01
-9.89880e-04,8.02328E-01
-9.89840e-04,8.02234E-01
-9.89800e-04,8.02359E-01
-9.89760e-04,8.02453E-01
-9.89720e-04,8.02547E-01
-9.89680e-04,8.02609E-01
-9.89640e-04,8.02766E-01
-9.89600e-04,8.02797E-01
-9.89560e-04,8.02891E-01
-9.89520e-04,8.03047E-01
-9.89480e-04,8.03078E-01
-9.89440e-04,8.03141E-01
-9.89400e-04,8.03234E-01
-9.89360e-04,8.03391E-01
-9.89320e-04,8.03484E-01
-9.89280e-04,8.03641E-01
-9.89240e-04,8.03734E-01
-9.89200e-04,8.03859E-01
-9.89160e-04,8.03953E-01
-9.89120e-04,8.03984E-01
-9.89080e-04,8.04047E-01
-9.89040e-04,8.04078E-01
-9.89000e-04,8.04141E-01
-9.88960e-04,8.04203E-01
-9.88920e-04,8.04359E-01
-9.88880e-04,8.04453E-01
-9.88840e-04,8.04641E-01
-9.88800e-04,8.04672E-01
-9.88760e-04,8.04797E-01
-9.88720e-04,8.04891E-01
-9.88680e-04,8.04953E-01
-9.88640e-04,8.05047E-01
-9.88600e-04,8.05109E-01
-9.88560e-04,8.05266E-01
-9.88520e-04,8.05297E-01
-9.88480e-04,8.05422E-01
-9.88440e-04,8.05484E-01
-9.88400e-04,8.05578E-01
-9.88360e-04,8.05703E-01
-9.88320e-04,8.05734E-01
-9.88280e-04,8.05828E-01
-9.88240e-04,8.05953E-01
-9.88200e-04,8.05922E-01
-9.88160e-04,8.06016E-01
-9.88120e-04,8.06109E-01
-9.88080e-04,8.06203E-01
-9.88040e-04,8.06266E-01
-9.88000e-04,8.06391E-01
-9.87960e-04,8.06516E-01
-9.87920e-04,8.06547E-01
-9.87880e-04,8.06609E-01
-9.87840e-04,8.06797E-01
-9.87800e-04,8.06578E-01
-9.87760e-04,8.06922E-01
-9.87720e-04,8.06391E-01
-9.87680e-04,8.05516E-01
-9.87640e-04,8.05422E-01
-9.87600e-04,8.06766E-01
-9.87560e-04,8.06297E-01
-9.87520e-04,8.06203E-01
-9.87480e-04,8.06484E-01
-9.87440e-04,8.06703E-01
-9.87400e-04,8.06547E-01
-9.87360e-04,8.06516E-01
-9.87320e-04,8.06766E-01
-9.87280e-04,8.06609E-01
-9.87240e-04,8.06734E-01
-9.87200e-04,8.06797E-01
-9.87160e-04,8.06984E-01
-9.87120e-04,8.06953E-01
-9.87080e-04,8.07016E-01
-9.87040e-04,8.07141E-01
-9.87000e-04,8.07203E-01
-9.86960e-04,8.07359E-01
-9.86920e-04,8.07328E-01
-9.86880e-04,8.07453E-01
-9.86840e-04,8.07516E-01
-9.86800e-04,8.07641E-01
-9.86760e-04,8.07672E-01
-9.86720e-04,8.07703E-01
-9.86680e-04,8.07766E-01
-9.86640e-04,8.07891E-01
-9.86600e-04,8.07984E-01
-9.86560e-04,8.07984E-01
-9.86520e-04,8.08078E-01
-9.86480e-04,8.08172E-01
-9.86440e-04,8.08234E-01
-9.86400e-04,8.08359E-01
-9.86360e-04,8.08391E-01
-9.86320e-04,8.08484E-01
-9.86280e-04,8.08484E-01
-9.86240e-04,8.08609E-01
-9.86200e-04,8.08578E-01
-9.86160e-04,8.08672E-01
-9.86120e-04,8.08734E-01
-9.86080e-04,8.08766E-01
-9.86040e-04,8.08828E-01
-9.86000e-04,8.08922E-01
-9.85960e-04,8.08984E-01
-9.85920e-04,8.09266E-01
-9.85880e-04,8.09266E-01
-9.85840e-04,8.08484E-01
-9.85800e-04,8.08797E-01
-9.85760e-04,8.09609E-01
-9.85720e-04,8.09578E-01
-9.85680e-04,8.09203E-01
-9.85640e-04,8.09328E-01
-9.85600e-04,8.09547E-01
-9.85560e-04,8.09391E-01
-9.85520e-04,8.09359E-01
-9.85480e-04,8.09547E-01
-9.85440e-04,8.09672E-01
-9.85400e-04,8.09641E-01
-9.85360e-04,8.09672E-01
-9.85320e-04,8.09891E-01
-9.85280e-04,8.09953E-01
-9.85240e-04,8.10047E-01
-9.85200e-04,8.10172E-01
-9.85160e-04,8.10297E-01
-9.85120e-04,8.10359E-01
-9.85080e-04,8.10422E-01
-9.85040e-04,8.10516E-01
-9.85000e-04,8.10547E-01
-9.84960e-04,8.10609E-01
-9.84920e-04,8.10766E-01
-9.84880e-04,8.10828E-01
-9.84840e-04,8.10828E-01
-9.84800e-04,8.10891E-01
-9.84760e-04,8.11016E-01
-9.84720e-04,8.11109E-01
-9.84680e-04,8.11141E-01
-9.84640e-04,8.11172E-01
-9.84600e-04,8.11203E-01
-9.84560e-04,8.11266E-01
-9.84520e-04,8.11266E-01
-9.84480e-04,8.11359E-01
-9.84440e-04,8.11422E-01
-9.84400e-04,8.11484E-01
-9.84360e-04,8.11547E-01
-9.84320e-04,8.11703E-01
-9.84280e-04,8.11828E-01
-9.84240e-04,8.11859E-01
-9.84200e-04,8.11953E-01
-9.84160e-04,8.11953E-01
-9.84120e-04,8.12016E-01
-9.84080e-04,8.12172E-01
-9.84040e-04,8.12078E-01
-9.84000e-04,8.12266E-01
-9.83960e-04,8.12328E-01
-9.83920e-04,8.12234E-01
-9.83880e-04,8.12516E-01
-9.83840e-04,8.12266E-01
-9.83800e-04,8.12516E-01
-9.83760e-04,8.12453E-01
-9.83720e-04,8.12547E-01
-9.83680e-04,8.12547E-01
-9.83640e-04,8.12703E-01
-9.83600e-04,8.12703E-01
-9.83560e-04,8.12797E-01
-9.83520e-04,8.12859E-01
-9.83480e-04,8.12922E-01
-9.83440e-04,8.13047E-01
-9.83400e-04,8.13078E-01
-9.83360e-04,8.13141E-01
-9.83320e-04,8.13141E-01
-9.83280e-04,8.13203E-01
-9.83240e-04,8.13203E-01
-9.83200e-04,8.13266E-01
-9.83160e-04,8.13297E-01
-9.83120e-04,8.13359E-01
-9.83080e-04,8.13453E-01
-9.83040e-04,8.13484E-01
-9.83000e-04,8.13547E-01
-9.82960e-04,8.13641E-01
-9.82920e-04,8.13703E-01
-9.82880e-04,8.13703E-01
-9.82840e-04,8.13734E-01
-9.82800e-04,8.13859E-01
-9.82760e-04,8.13922E-01
-9.82720e-04,8.13922E-01
-9.82680e-04,8.13922E-01
-9.82640e-04,8.14016E-01
-9.82600e-04,8.14078E-01
-9.82560e-04,8.14141E-01
-9.82520e-04,8.14203E-01
-9.82480e-04,8.14234E-01
-9.82440e-04,8.14328E-01
-9.82400e-04,8.14453E-01
-9.82360e-04,8.14516E-01
-9.82320e-04,8.14516E-01
-9.82280e-04,8.14547E-01
-9.82240e-04,8.14547E-01
-9.82200e-04,8.14578E-01
-9.82160e-04,8.14641E-01
-9.82120e-04,8.14703E-01
-9.82080e-04,8.14766E-01
-9.82040e-04,8.14797E-01
-9.82000e-04,8.14859E-01
-9.81960e-04,8.14953E-01
-9.81920e-04,8.14984E-01
-9.81880e-04,8.15109E-01
-9.81840e-04,8.15172E-01
-9.81800e-04,8.15203E-01
-9.81760e-04,8.15547E-01
-9.81720e-04,8.15297E-01
-9.81680e-04,8.15797E-01
-9.81640e-04,8.15453E-01
-9.81600e-04,8.15766E-01
-9.81560e-04,8.15609E-01
-9.81520e-04,8.15766E-01
-9.81480e-04,8.15828E-01
-9.81440e-04,8.15922E-01
-9.81400e-04,8.15922E-01
-9.81360e-04,8.16047E-01
-9.81320e-04,8.16109E-01
-9.81280e-04,8.16047E-01
-9.81240e-04,8.16203E-01
-9.81200e-04,8.16203E-01
-9.81160e-04,8.16359E-01
-9.81120e-04,8.16359E-01
-9.81080e-04,8.16484E-01
-9.81040e-04,8.16547E-01
-9.81000e-04,8.16578E-01
-9.80960e-04,8.16672E-01
-9.80920e-04,8.16703E-01
-9.80880e-04,8.16797E-01
-9.80840e-04,8.16828E-01
-9.80800e-04,8.16984E-01
-9.80760e-04,8.17078E-01
-9.80720e-04,8.17141E-01
-9.80680e-04,8.17266E-01
-9.80640e-04,8.17359E-01
-9.80600e-04,8.17297E-01
-9.80560e-04,8.17328E-01
-9.80520e-04,8.17453E-01
-9.80480e-04,8.17484E-01
-9.80440e-04,8.17516E-01
-9.80400e-04,8.17578E-01
-9.80360e-04,8.17609E-01
-9.80320e-04,8.17672E-01
-9.80280e-04,8.17797E-01
-9.80240e-04,8.17859E-01
-9.80200e-04,8.17859E-01
-9.80160e-04,8.17953E-01
-9.80120e-04,8.18016E-01
-9.80080e-04,8.18141E-01
-9.80040e-04,8.18266E-01
-9.80000e-04,8.18297E-01
-9.79960e-04,8.18359E-01
-9.79920e-04,8.18391E-01
-9.79880e-04,8.18453E-01
-9.79840e-04,8.18516E-01
-9.79800e-04,8.18516E-01
-9.79760e-04,8.18609E-01
-9.79720e-04,8.18641E-01
-9.79680e-04,8.18703E-01
-9.79640e-04,8.18766E-01
-9.79600e-04,8.18859E-01
-9.79560e-04,8.18859E-01
-9.79520e-04,8.18953E-01
-9.79480e-04,8.18984E-01
-9.79440e-04,8.19078E-01
-9.79400e-04,8.19109E-01
-9.79360e-04,8.19141E-01
-9.79320e-04,8.19203E-01
-9.79280e-04,8.19297E-01
-9.79240e-04,8.19391E-01
-9.79200e-04,8.19422E-01
-9.79160e-04,8.19484E-01
-9.79120e-04,8.19547E-01
-9.79080e-04,8.19641E-01
-9.79040e-04,8.19734E-01
-9.79000e-04,8.19797E-01
-9.78960e-04,8.19891E-01
-9.78920e-04,8.19953E-01
-9.78880e-04,8.19984E-01
-9.78840e-04,8.20047E-01
-9.78800e-04,8.20109E-01
-9.78760e-04,8.20141E-01
-9.78720e-04,8.20172E-01
-9.78680e-04,8.20172E-01
-9.78640e-04,8.20234E-01
-9.78600e-04,8.20328E-01
-9.78560e-04,8.20391E-01
-9.78520e-04,8.20484E-01
-9.78480e-04,8.20641E-01
-9.78440e-04,8.20703E-01
-9.78400e-04,8.20766E-01
-9.78360e-04,8.20797E-01
-9.78320e-04,8.20859E-01
-9.78280e-04,8.20922E-01
-9.78240e-04,8.20984E-01
-9.78200e-04,8.21047E-01
-9.78160e-04,8.21109E-01
-9.78120e-04,8.21234E-01
-9.78080e-04,8.21297E-01
-9.78040e-04,8.21422E-01
-9.78000e-04,8.21484E-01
