#time	V(in1)	V(in2)	-I(R3)
2.987978230887596e-04	2.715182e+00	2.714698e+00	4.832935e-07
3.234838668570613e-04	2.939601e+00	2.939111e+00	4.901267e-07
3.481699106253630e-04	3.164021e+00	3.163522e+00	4.990077e-07
3.728559543936647e-04	3.388440e+00	3.387930e+00	5.099365e-07
3.975419981619665e-04	3.612859e+00	3.612336e+00	5.229131e-07
4.222280419302682e-04	3.837279e+00	3.836741e+00	5.379376e-07
4.469140856985700e-04	4.061698e+00	4.061143e+00	5.550099e-07
4.716001294668716e-04	4.286118e+00	4.285543e+00	5.741301e-07
5.000000000000000e-04	4.544299e+00	4.543694e+00	6.054747e-07
5.000128906789785e-04	4.544417e+00	4.543810e+00	6.060581e-07
5.000306137809251e-04	4.544571e+00	4.543972e+00	6.000434e-07
5.000435788220744e-04	4.544667e+00	4.544086e+00	5.808274e-07
5.000557945001574e-04	4.544740e+00	4.544189e+00	5.513766e-07
5.000711070055876e-04	4.544807e+00	4.544306e+00	5.010403e-07
5.001017320164480e-04	4.544850e+00	4.544482e+00	3.684467e-07
5.001629820381687e-04	4.544705e+00	4.544648e+00	5.721143e-08
5.002206300676193e-04	4.544333e+00	4.544575e+00	-2.419651e-07
5.002751279887321e-04	4.543787e+00	4.544278e+00	-4.903886e-07
5.003314491808900e-04	4.543108e+00	4.543807e+00	-6.982266e-07
5.003396781477810e-04	4.543001e+00	4.543723e+00	-7.218202e-07
5.003561360815632e-04	4.542779e+00	4.543537e+00	-7.575588e-07
5.003890519491276e-04	4.542335e+00	4.543142e+00	-8.067918e-07
5.004548836842562e-04	4.541467e+00	4.542315e+00	-8.481509e-07
5.005173045905493e-04	4.540694e+00	4.541528e+00	-8.342246e-07
5.005875267489495e-04	4.539905e+00	4.540680e+00	-7.750701e-07
5.007042866980894e-04	4.538767e+00	4.539420e+00	-6.521367e-07
5.007563570911892e-04	4.538320e+00	4.538929e+00	-6.096074e-07
5.008252377044974e-04	4.537747e+00	4.538320e+00	-5.722891e-07
5.008884825475746e-04	4.537226e+00	4.537783e+00	-5.567047e-07
5.009685157369120e-04	4.536555e+00	4.537113e+00	-5.574813e-07
5.011832601740824e-04	4.534651e+00	4.535247e+00	-5.964594e-07
5.012866055340312e-04	4.533701e+00	4.534311e+00	-6.101110e-07
5.014038163281353e-04	4.532617e+00	4.533231e+00	-6.143395e-07
5.019073141361144e-04	4.528029e+00	4.528631e+00	-6.014766e-07
5.234974205774461e-04	4.331757e+00	4.332337e+00	-5.802546e-07
5.450875270187778e-04	4.135485e+00	4.136046e+00	-5.612725e-07
5.666776334601095e-04	3.939213e+00	3.939757e+00	-5.445303e-07
5.882677399014412e-04	3.742941e+00	3.743471e+00	-5.300280e-07
6.098578463427729e-04	3.546668e+00	3.547186e+00	-5.177655e-07
6.314479527841047e-04	3.350396e+00	3.350903e+00	-5.077430e-07
6.530380592254363e-04	3.154123e+00	3.154623e+00	-4.999604e-07
6.999130592254363e-04	2.727990e+00	2.728474e+00	-4.836400e-07
7.018661842254363e-04	2.710239e+00	2.710906e+00	-6.665970e-07
7.038193092254363e-04	2.692523e+00	2.694700e+00	-2.176690e-06
7.053194948971609e-04	2.678941e+00	2.684427e+00	-5.486057e-06
7.061219363704333e-04	2.671663e+00	2.679969e+00	-8.305732e-06
7.068988825284866e-04	2.664611e+00	2.676157e+00	-1.154563e-05
7.077193647998050e-04	2.657168e+00	2.672421e+00	-1.525343e-05
7.083195161470535e-04	2.651718e+00	2.669842e+00	-1.812412e-05
7.093614588259630e-04	2.642261e+00	2.665657e+00	-2.339554e-05
7.107707163373820e-04	2.629465e+00	2.660453e+00	-3.098757e-05
7.127687318100474e-04	2.611324e+00	2.653707e+00	-4.238297e-05
7.142053714492206e-04	2.598280e+00	2.649240e+00	-5.095973e-05
7.159953665192663e-04	2.582028e+00	2.644001e+00	-6.197240e-05
7.199016165192663e-04	2.546569e+00	2.633564e+00	-8.699463e-05
7.257609915192663e-04	2.493415e+00	2.619834e+00	-1.264199e-04
7.316203665192663e-04	2.440359e+00	2.607722e+00	-1.673634e-04
7.355266165192663e-04	2.405147e+00	2.600330e+00	-1.951830e-04
7.374797415192663e-04	2.387675e+00	2.596820e+00	-2.091449e-04
7.394328665192663e-04	2.370422e+00	2.593443e+00	-2.230206e-04
7.411800776937043e-04	2.355403e+00	2.590569e+00	-2.351658e-04
7.426536471158394e-04	2.343178e+00	2.588266e+00	-2.450889e-04
7.436593819027229e-04	2.335272e+00	2.586806e+00	-2.515343e-04
7.437061602649036e-04	2.334900e+00	2.586737e+00	-2.518374e-04
7.437178548554488e-04	2.334836e+00	2.586722e+00	-2.518856e-04
7.437215094149942e-04	2.334853e+00	2.586719e+00	-2.518661e-04
7.437229712388123e-04	2.334866e+00	2.586719e+00	-2.518531e-04
7.437258948864486e-04	2.334888e+00	2.586719e+00	-2.518306e-04
7.437317421817211e-04	2.334926e+00	2.586722e+00	-2.517960e-04
7.437434367722663e-04	2.334975e+00	2.586730e+00	-2.517553e-04
7.437583065094527e-04	2.334982e+00	2.586736e+00	-2.517540e-04
7.437780610227065e-04	2.334899e+00	2.586730e+00	-2.518307e-04
7.438036064451793e-04	2.334663e+00	2.586695e+00	-2.520324e-04
7.438546972901248e-04	2.333979e+00	2.586580e+00	-2.526003e-04
7.439046030694170e-04	2.333179e+00	2.586437e+00	-2.532584e-04
7.439714363697261e-04	2.332015e+00	2.586226e+00	-2.542112e-04
7.440476854983584e-04	2.330693e+00	2.585984e+00	-2.552904e-04
7.441644336278674e-04	2.328802e+00	2.585636e+00	-2.568336e-04
7.442889593921956e-04	2.327037e+00	2.585311e+00	-2.582735e-04
7.444717414586887e-04	2.324826e+00	2.584905e+00	-2.600784e-04
7.445865836964138e-04	2.323615e+00	2.584684e+00	-2.610687e-04
7.448839136656298e-04	2.320808e+00	2.584176e+00	-2.633673e-04
7.458906119121163e-04	2.311416e+00	2.582495e+00	-2.710787e-04
7.468973101586027e-04	2.302063e+00	2.580839e+00	-2.787761e-04
7.479040084050892e-04	2.292748e+00	2.579207e+00	-2.864596e-04
7.489107066515757e-04	2.283471e+00	2.577600e+00	-2.941291e-04
7.499174048980621e-04	2.274233e+00	2.576017e+00	-3.017847e-04
7.509241031445486e-04	2.265033e+00	2.574460e+00	-3.094263e-04
7.519308013910351e-04	2.255872e+00	2.572926e+00	-3.170540e-04
7.589062478196065e-04	2.192366e+00	2.562834e+00	-3.704680e-04
7.658816942481780e-04	2.128881e+00	2.553168e+00	-4.242867e-04
7.728571406767494e-04	2.065417e+00	2.543927e+00	-4.785100e-04
7.798325871053208e-04	2.001974e+00	2.535112e+00	-5.331379e-04
7.868080335338922e-04	1.938552e+00	2.526723e+00	-5.881704e-04
7.937834799624637e-04	1.875152e+00	2.518759e+00	-6.436076e-04
8.007589263910351e-04	1.811772e+00	2.511222e+00	-6.994493e-04
8.292220165463869e-04	1.553058e+00	2.483565e+00	-9.305074e-04
8.576851067017387e-04	1.294343e+00	2.457627e+00	-1.163285e-03
8.861481968570905e-04	1.035627e+00	2.433407e+00	-1.397781e-03
9.146112870124423e-04	7.769102e-01	2.410906e+00	-1.633996e-03
9.430743771677941e-04	5.181931e-01	2.390123e+00	-1.871930e-03
9.715374673231459e-04	2.594754e-01	2.371059e+00	-2.111584e-03
1.000000557478498e-03	7.570061e-04	2.353713e+00	-2.352956e-03
1.000004742477596e-03	7.179561e-04	2.353711e+00	-2.352993e-03
1.000008927476695e-03	6.795040e-04	2.353708e+00	-2.353028e-03
1.000013112475794e-03	6.416498e-04	2.353705e+00	-2.353064e-03
1.000017297474893e-03	6.043936e-04	2.353703e+00	-2.353098e-03
1.000021482473991e-03	5.677353e-04	2.353700e+00	-2.353132e-03
1.000025667473090e-03	5.316750e-04	2.353698e+00	-2.353166e-03
1.000029852472189e-03	4.962126e-04	2.353695e+00	-2.353199e-03
1.000050134139149e-03	3.572215e-04	2.353685e+00	-2.353328e-03
1.000067373883713e-03	2.807919e-04	2.353679e+00	-2.353399e-03
1.000097135641025e-03	2.390583e-04	2.353676e+00	-2.353437e-03
1.000155798054036e-03	3.829024e-04	2.353684e+00	-2.353301e-03
1.000211925547505e-03	7.385479e-04	2.353708e+00	-2.352969e-03
1.000258070432969e-03	1.181110e-03	2.353737e+00	-2.352556e-03
1.000301230177110e-03	1.680515e-03	2.353771e+00	-2.352091e-03
1.000425409520994e-03	3.250453e-03	2.353879e+00	-2.350628e-03
1.000497681484177e-03	4.111908e-03	2.353938e+00	-2.349826e-03
1.000611824320004e-03	5.293288e-03	2.354020e+00	-2.348726e-03
1.000723572898002e-03	6.307858e-03	2.354089e+00	-2.347782e-03
1.000852083833912e-03	7.418672e-03	2.354166e+00	-2.346747e-03
1.000980594769822e-03	8.543096e-03	2.354243e+00	-2.345700e-03
1.001109105705732e-03	9.681131e-03	2.354321e+00	-2.344640e-03
1.001237616641643e-03	1.083278e-02	2.354400e+00	-2.343567e-03
1.001366127577553e-03	1.199803e-02	2.354480e+00	-2.342482e-03
1.001494638513463e-03	1.317690e-02	2.354561e+00	-2.341384e-03
1.001623149449373e-03	1.436938e-02	2.354643e+00	-2.340274e-03
1.031497812284690e-03	2.859236e-01	2.372740e+00	-2.086816e-03
1.061372475120006e-03	5.574660e-01	2.392862e+00	-1.835396e-03
1.091247137955322e-03	8.289965e-01	2.415010e+00	-1.586013e-03
1.121121800790638e-03	1.100515e+00	2.439183e+00	-1.338668e-03
1.150996463625954e-03	1.372022e+00	2.465382e+00	-1.093360e-03
1.180871126461270e-03	1.643517e+00	2.493607e+00	-8.500900e-04
1.210745789296587e-03	1.915000e+00	2.523857e+00	-6.088571e-04
1.216047128582301e-03	1.963187e+00	2.529971e+00	-5.667840e-04
1.221348467868015e-03	2.011348e+00	2.536350e+00	-5.250021e-04
1.226649807153729e-03	2.059482e+00	2.542993e+00	-4.835116e-04
1.231951146439444e-03	2.107589e+00	2.549902e+00	-4.423125e-04
1.237252485725158e-03	2.155670e+00	2.557075e+00	-4.014046e-04
1.242553825010873e-03	2.203724e+00	2.564512e+00	-3.607881e-04
1.247855164296587e-03	2.251752e+00	2.572215e+00	-3.204629e-04
1.251761414296587e-03	2.286931e+00	2.578180e+00	-2.912485e-04
1.253714539296587e-03	2.304357e+00	2.581226e+00	-2.768684e-04
1.255911804921587e-03	2.323728e+00	2.584673e+00	-2.609443e-04
1.257068610889295e-03	2.333459e+00	2.586444e+00	-2.529859e-04
1.257081556602436e-03	2.333640e+00	2.586470e+00	-2.528299e-04
1.257092038143505e-03	2.333789e+00	2.586496e+00	-2.527064e-04
1.257108061753955e-03	2.334000e+00	2.586535e+00	-2.525349e-04
1.257148365889195e-03	2.334429e+00	2.586619e+00	-2.521900e-04
1.257195574282839e-03	2.334803e+00	2.586692e+00	-2.518884e-04
1.257259157916842e-03	2.335206e+00	2.586769e+00	-2.515630e-04
1.257333810459630e-03	2.335608e+00	2.586844e+00	-2.512363e-04
1.257534905896253e-03	2.336717e+00	2.587047e+00	-2.503298e-04
1.257701122865335e-03	2.337812e+00	2.587247e+00	-2.494354e-04
1.258033556803499e-03	2.340358e+00	2.587715e+00	-2.473576e-04
1.258449008402893e-03	2.344023e+00	2.588393e+00	-2.443699e-04
1.258964068191653e-03	2.349099e+00	2.589338e+00	-2.402394e-04
1.259828345764742e-03	2.358102e+00	2.591033e+00	-2.329314e-04
1.260283452946208e-03	2.362709e+00	2.591910e+00	-2.292014e-04
1.260881250963850e-03	2.368566e+00	2.593033e+00	-2.244669e-04
1.261479150780049e-03	2.374283e+00	2.594138e+00	-2.198549e-04
1.263026249650568e-03	2.388780e+00	2.596985e+00	-2.082046e-04
1.265650414748760e-03	2.413005e+00	2.601889e+00	-1.888840e-04
1.271023354553064e-03	2.462175e+00	2.612496e+00	-1.503211e-04
1.276882729553064e-03	2.515602e+00	2.625273e+00	-1.096711e-04
1.280788979553064e-03	2.551179e+00	2.634778e+00	-8.359850e-05
1.284695229553064e-03	2.586741e+00	2.645403e+00	-5.866268e-05
1.286648354553064e-03	2.604519e+00	2.651289e+00	-4.677010e-05
1.288601479553064e-03	2.622296e+00	2.657689e+00	-3.539348e-05
1.290554604553064e-03	2.640074e+00	2.664774e+00	-2.470064e-05
1.292507729553064e-03	2.657855e+00	2.672837e+00	-1.498246e-05
1.294460854553064e-03	2.675645e+00	2.682495e+00	-6.850065e-06
1.296413979553064e-03	2.693457e+00	2.695057e+00	-1.600286e-06
1.298367104553064e-03	2.711265e+00	2.710913e+00	3.514926e-07
1.299366235510292e-03	2.720347e+00	2.719866e+00	4.814137e-07
1.301017346786597e-03	2.735358e+00	2.734875e+00	4.828719e-07
1.302668458062902e-03	2.750368e+00	2.749884e+00	4.841084e-07
1.304319569339208e-03	2.765378e+00	2.764893e+00	4.851234e-07
1.305970680615513e-03	2.780389e+00	2.779903e+00	4.859168e-07
1.307621791891818e-03	2.795399e+00	2.794913e+00	4.864885e-07
1.309272903168124e-03	2.810409e+00	2.809923e+00	4.868387e-07
1.310924014444429e-03	2.825419e+00	2.824933e+00	4.869672e-07
1.334640532301572e-03	3.041025e+00	3.040531e+00	4.939782e-07
1.358357050158715e-03	3.256631e+00	3.256128e+00	5.030491e-07
1.382073568015858e-03	3.472237e+00	3.471723e+00	5.141799e-07
1.405790085873001e-03	3.687843e+00	3.687315e+00	5.273707e-07
1.429506603730144e-03	3.903448e+00	3.902905e+00	5.426214e-07
1.453223121587286e-03	4.119053e+00	4.118493e+00	5.599320e-07
1.476939639444429e-03	4.334659e+00	4.334079e+00	5.793025e-07
1.498046875000002e-03	4.526543e+00	4.525940e+00	6.029854e-07
1.500000000000002e-03	4.544299e+00	4.543694e+00	6.054739e-07
1.500012890678433e-03	4.544417e+00	4.543810e+00	6.060590e-07
1.500030610966095e-03	4.544571e+00	4.543972e+00	6.000470e-07
1.500043575433512e-03	4.544667e+00	4.544086e+00	5.808353e-07
1.500055786784741e-03	4.544740e+00	4.544189e+00	5.513999e-07
1.500071093401966e-03	4.544807e+00	4.544306e+00	5.010917e-07
1.500101706636416e-03	4.544850e+00	4.544482e+00	3.685676e-07
1.500162933105315e-03	4.544705e+00	4.544648e+00	5.747034e-08
1.500220564608715e-03	4.544334e+00	4.544576e+00	-2.416430e-07
1.500275054264206e-03	4.543788e+00	4.544278e+00	-4.900934e-07
1.500331372813495e-03	4.543099e+00	4.543780e+00	-6.810275e-07
1.500390284070402e-03	4.542320e+00	4.543121e+00	-8.014305e-07
1.500452768484821e-03	4.541495e+00	4.542346e+00	-8.506876e-07
1.500513340202407e-03	4.540739e+00	4.541577e+00	-8.388013e-07
1.500577341156335e-03	4.540012e+00	4.540799e+00	-7.864245e-07
1.500698497144211e-03	4.538818e+00	4.539476e+00	-6.578594e-07
1.500750286045756e-03	4.538370e+00	4.538983e+00	-6.135209e-07
1.500812213214018e-03	4.537854e+00	4.538431e+00	-5.772079e-07
1.500877701409766e-03	4.537315e+00	4.537873e+00	-5.580190e-07
1.500952383851241e-03	4.536693e+00	4.537248e+00	-5.557927e-07
1.501038452725004e-03	4.535951e+00	4.536519e+00	-5.681918e-07
1.501154095728106e-03	4.534917e+00	4.535508e+00	-5.913021e-07
1.501263534001441e-03	4.533914e+00	4.534521e+00	-6.077315e-07
1.501381031681411e-03	4.532827e+00	4.533441e+00	-6.141088e-07
1.501882649677033e-03	4.528253e+00	4.528855e+00	-6.016797e-07
1.523440161230674e-03	4.332278e+00	4.332858e+00	-5.804008e-07
