#time	V(in1)	V(in2)	I(R3)
2.546956531444586e-04	6.117691e-01	5.233121e-01	8.845702e-05
2.566487781444586e-04	6.402127e-01	5.315428e-01	1.086698e-04
2.586019031444586e-04	6.686560e-01	5.386807e-01	1.299753e-04
2.625081531444586e-04	7.255360e-01	5.505118e-01	1.750243e-04
2.683675281444586e-04	8.108355e-01	5.641319e-01	2.467037e-04
2.739478852873158e-04	8.920487e-01	5.734024e-01	3.186462e-04
2.795282424301729e-04	9.732558e-01	5.817423e-01	3.915134e-04
2.851085995730301e-04	1.054457e+00	5.891515e-01	4.653054e-04
2.906889567158872e-04	1.135652e+00	5.956299e-01	5.400221e-04
2.962693138587443e-04	1.216841e+00	6.011776e-01	6.156636e-04
3.018496710016015e-04	1.298024e+00	6.057945e-01	6.922298e-04
3.074300281444586e-04	1.379202e+00	6.094808e-01	7.697208e-04
3.280773495730301e-04	1.679552e+00	6.209410e-01	1.058611e-03
3.487246710016015e-04	1.979898e+00	6.311367e-01	1.348761e-03
3.693719924301730e-04	2.280239e+00	6.400677e-01	1.640172e-03
3.900193138587445e-04	2.580577e+00	6.477341e-01	1.932843e-03
4.106666352873159e-04	2.880910e+00	6.541360e-01	2.226774e-03
4.313139567158873e-04	3.181240e+00	6.592732e-01	2.521967e-03
4.519612781444588e-04	3.481565e+00	6.631458e-01	2.818419e-03
5.000000000000000e-04	4.180317e+00	6.726469e-01	3.507670e-03
5.000042969257704e-04	4.180380e+00	6.726477e-01	3.507732e-03
5.000128907773113e-04	4.180506e+00	6.726493e-01	3.507857e-03
5.000376744529417e-04	4.180826e+00	6.726533e-01	3.508173e-03
5.000624581285720e-04	4.181045e+00	6.726559e-01	3.508389e-03
5.000872418042024e-04	4.181163e+00	6.726574e-01	3.508506e-03
5.001120254798327e-04	4.181180e+00	6.726576e-01	3.508522e-03
5.001368091554631e-04	4.181095e+00	6.726566e-01	3.508439e-03
5.001615928310934e-04	4.180910e+00	6.726544e-01	3.508256e-03
5.001863765067238e-04	4.180624e+00	6.726509e-01	3.507972e-03
5.002431932459294e-04	4.179845e+00	6.726413e-01	3.507204e-03
5.002992189067243e-04	4.178837e+00	6.726288e-01	3.506208e-03
5.004815570909143e-04	4.175191e+00	6.725837e-01	3.502607e-03
5.006188551547343e-04	4.172852e+00	6.725548e-01	3.500297e-03
5.008146716979303e-04	4.170089e+00	6.725206e-01	3.497568e-03
5.010771708713187e-04	4.166432e+00	6.724752e-01	3.493957e-03
5.262121690852740e-04	3.800817e+00	6.685370e-01	3.132281e-03
5.513471672992293e-04	3.435210e+00	6.633913e-01	2.771819e-03
5.764821655131846e-04	3.069610e+00	6.570382e-01	2.412572e-03
6.016171637271398e-04	2.704016e+00	6.494776e-01	2.054539e-03
6.267521619410951e-04	2.338430e+00	6.407097e-01	1.697720e-03
6.518871601550505e-04	1.972850e+00	6.307343e-01	1.342116e-03
6.770221583690057e-04	1.607278e+00	6.195515e-01	9.877263e-04
6.839976047975771e-04	1.505824e+00	6.158969e-01	8.899266e-04
6.909730512261486e-04	1.404375e+00	6.113277e-01	7.930472e-04
6.979484976547201e-04	1.302932e+00	6.058437e-01	6.970879e-04
7.049239440832915e-04	1.201494e+00	5.994450e-01	6.020489e-04
7.118993905118629e-04	1.100062e+00	5.921317e-01	5.079300e-04
7.188748369404344e-04	9.986350e-01	5.839037e-01	4.147313e-04
7.258502833690058e-04	8.972138e-01	5.747610e-01	3.224528e-04
7.280824262261487e-04	8.647637e-01	5.712920e-01	2.934717e-04
7.303145690832915e-04	8.323169e-01	5.672784e-01	2.650384e-04
7.325467119404344e-04	7.998732e-01	5.627202e-01	2.371530e-04
7.347788547975772e-04	7.674327e-01	5.576174e-01	2.098153e-04
7.370109976547201e-04	7.349955e-01	5.519699e-01	1.830256e-04
7.392431405118629e-04	7.025614e-01	5.457777e-01	1.567836e-04
7.414752833690058e-04	6.701306e-01	5.390410e-01	1.310895e-04
7.434284083690058e-04	6.417567e-01	5.319761e-01	1.097807e-04
7.453815333690058e-04	6.133837e-01	5.238393e-01	8.954440e-05
7.473346583690058e-04	5.850081e-01	5.143456e-01	7.066248e-05
7.492877833690058e-04	5.566237e-01	5.031306e-01	5.349310e-05
7.512409083690058e-04	5.282208e-01	4.897602e-01	3.846061e-05
7.531940333690058e-04	4.997886e-01	4.737952e-01	2.599340e-05
7.551471583690058e-04	4.713227e-01	4.549382e-01	1.638449e-05
7.571002833690058e-04	4.428335e-01	4.332168e-01	9.616746e-06
7.590534083690058e-04	4.143438e-01	4.090515e-01	5.292310e-06
7.610065333690058e-04	3.858728e-01	3.831062e-01	2.766684e-06
7.629596583690058e-04	3.574263e-01	3.560357e-01	1.390548e-06
7.649127833690058e-04	3.289998e-01	3.283266e-01	6.731272e-07
7.668659083690058e-04	3.005866e-01	3.002792e-01	3.074324e-07
7.688190333690058e-04	2.721818e-01	2.720594e-01	1.224466e-07
7.707721583690058e-04	2.437823e-01	2.437535e-01	2.879991e-08
7.727252833690058e-04	2.153865e-01	2.154053e-01	-1.878302e-08
7.746784083690058e-04	1.869940e-01	1.870371e-01	-4.309242e-08
7.766315333690058e-04	1.586045e-01	1.586601e-01	-5.563867e-08
7.785846583690058e-04	1.302184e-01	1.302805e-01	-6.213525e-08
7.807640501584041e-04	9.854273e-02	9.860743e-02	-6.470003e-08
7.829434419478023e-04	6.687921e-02	6.694578e-02	-6.656775e-08
7.851228337372006e-04	3.522786e-02	3.529560e-02	-6.773840e-08
7.873022255265987e-04	3.588670e-03	3.656883e-03	-6.821199e-08
7.894816173159970e-04	-2.803836e-02	-2.797037e-02	-6.798851e-08
7.916610091053952e-04	-5.965323e-02	-5.958616e-02	-6.706796e-08
7.938404008947935e-04	-9.125593e-02	-9.119048e-02	-6.545035e-08
7.998104021154966e-04	-1.778670e-01	-1.778040e-01	-6.296273e-08
7.998199388586606e-04	-1.779978e-01	-1.779385e-01	-5.926031e-08
7.998266145788754e-04	-1.780692e-01	-1.780201e-01	-4.911477e-08
7.998380586706724e-04	-1.781857e-01	-1.781400e-01	-4.564965e-08
7.998533174597348e-04	-1.783474e-01	-1.783003e-01	-4.713509e-08
7.999312768039242e-04	-1.794010e-01	-1.793353e-01	-6.567637e-08
8.000009307303884e-04	-1.805632e-01	-1.804878e-01	-7.537898e-08
8.000685590739805e-04	-1.817780e-01	-1.816981e-01	-7.985167e-08
8.001493821145848e-04	-1.832681e-01	-1.831884e-01	-7.968362e-08
8.003063964341250e-04	-1.859629e-01	-1.858941e-01	-6.881184e-08
8.003863988650892e-04	-1.871496e-01	-1.870875e-01	-6.214994e-08
8.004966082181061e-04	-1.886214e-01	-1.885656e-01	-5.572407e-08
8.005851784333422e-04	-1.897352e-01	-1.896811e-01	-5.408251e-08
8.007711522012885e-04	-1.921557e-01	-1.920956e-01	-6.011191e-08
8.008802819905030e-04	-1.937403e-01	-1.936756e-01	-6.465270e-08
8.010379092366255e-04	-1.961657e-01	-1.960977e-01	-6.797232e-08
8.012617865659371e-04	-1.996138e-01	-1.995491e-01	-6.467791e-08
8.015550716523879e-04	-2.037960e-01	-2.037353e-01	-6.062911e-08
8.020329074179217e-04	-2.107161e-01	-2.106518e-01	-6.433606e-08
8.023644995728690e-04	-2.155541e-01	-2.154906e-01	-6.346629e-08
8.026960917278163e-04	-2.203895e-01	-2.203268e-01	-6.278423e-08
8.030276838827637e-04	-2.252225e-01	-2.251602e-01	-6.228990e-08
8.033592760377109e-04	-2.300530e-01	-2.299910e-01	-6.198329e-08
8.036908681926583e-04	-2.348809e-01	-2.348190e-01	-6.186441e-08
8.040224603476056e-04	-2.397063e-01	-2.396444e-01	-6.193325e-08
8.043540525025529e-04	-2.445293e-01	-2.444671e-01	-6.218981e-08
8.271563774503569e-04	-5.762376e-01	-5.761803e-01	-5.728993e-08
8.499587023981607e-04	-9.079339e-01	-9.078808e-01	-5.310387e-08
8.727610273459647e-04	-1.239618e+00	-1.239569e+00	-4.963164e-08
8.955633522937686e-04	-1.571290e+00	-1.571244e+00	-4.687323e-08
9.183656772415725e-04	-1.902951e+00	-1.902906e+00	-4.482864e-08
9.411680021893764e-04	-2.234599e+00	-2.234556e+00	-4.349787e-08
9.639703271371803e-04	-2.566235e+00	-2.566193e+00	-4.288092e-08
9.684346128514660e-04	-2.631180e+00	-2.631138e+00	-4.267608e-08
9.728988985657517e-04	-2.696117e+00	-2.696075e+00	-4.246545e-08
9.773631842800374e-04	-2.761046e+00	-2.761003e+00	-4.224904e-08
9.818274699943232e-04	-2.825966e+00	-2.825924e+00	-4.202685e-08
9.862917557086088e-04	-2.890879e+00	-2.890837e+00	-4.179888e-08
9.907560414228946e-04	-2.955784e+00	-2.955742e+00	-4.156512e-08
9.952203271371802e-04	-3.020680e+00	-3.020639e+00	-4.132559e-08
9.982531542743604e-04	-3.064503e+00	-3.064462e+00	-4.074031e-08
9.985027036637374e-04	-3.068084e+00	-3.068043e+00	-4.065432e-08
9.987522530531146e-04	-3.071653e+00	-3.071612e+00	-4.055467e-08
9.990018024424916e-04	-3.075210e+00	-3.075169e+00	-4.044138e-08
9.992513518318688e-04	-3.078754e+00	-3.078714e+00	-4.031444e-08
9.995009012212458e-04	-3.082287e+00	-3.082247e+00	-4.017385e-08
9.997504506106230e-04	-3.085808e+00	-3.085768e+00	-4.001961e-08
1.000000000000000e-03	-3.089318e+00	-3.089278e+00	-3.985172e-08
1.000005907236251e-03	-3.089401e+00	-3.089360e+00	-3.986910e-08
1.000018390084182e-03	-3.089578e+00	-3.089538e+00	-4.057793e-08
1.000034205621977e-03	-3.089792e+00	-3.089755e+00	-3.717950e-08
1.000080432135298e-03	-3.090189e+00	-3.090171e+00	-1.868139e-08
1.000113492218313e-03	-3.090277e+00	-3.090270e+00	-6.982835e-09
1.000162997145217e-03	-3.090182e+00	-3.090190e+00	7.769636e-09
1.000213873664018e-03	-3.089850e+00	-3.089870e+00	1.945670e-08
1.000276895774754e-03	-3.089190e+00	-3.089220e+00	2.951595e-08
1.000337751080285e-03	-3.088383e+00	-3.088418e+00	3.551549e-08
1.000408384097808e-03	-3.087320e+00	-3.087359e+00	3.907869e-08
1.000567987510949e-03	-3.084771e+00	-3.084811e+00	4.028922e-08
1.001014097294298e-03	-3.077927e+00	-3.077965e+00	3.738591e-08
1.001812574940818e-03	-3.066107e+00	-3.066144e+00	3.707748e-08
1.002611052587339e-03	-3.054326e+00	-3.054363e+00	3.683420e-08
1.003409530233859e-03	-3.042583e+00	-3.042619e+00	3.665605e-08
1.004208007880379e-03	-3.030878e+00	-3.030915e+00	3.654306e-08
1.005006485526900e-03	-3.019212e+00	-3.019249e+00	3.649520e-08
1.005804963173420e-03	-3.007584e+00	-3.007621e+00	3.651249e-08
1.006603440819940e-03	-2.995995e+00	-2.996032e+00	3.659493e-08
1.032189765041878e-03	-2.623815e+00	-2.623852e+00	3.723088e-08
1.057776089263816e-03	-2.251661e+00	-2.251699e+00	3.849455e-08
