,0,1,2,3,4
0,0.273965,0.273965,0.273965,0.273965,0.273965
1,0.274687,0.274687,0.274687,0.274687,0.274687
2,0.274543,0.274543,0.274543,0.274543,0.274543
3,0.274976,0.274976,0.274976,0.274976,0.274976
4,0.275121,0.275121,0.275121,0.275121,0.275121
5,0.275554,0.275554,0.275554,0.275554,0.275554
6,0.275987,0.275987,0.275987,0.275987,0.275987
7,0.276276,0.276276,0.276276,0.276276,0.276276
8,0.276854,0.276854,0.276854,0.276854,0.276854
9,0.276854,0.276854,0.276854,0.276854,0.276854
10,0.277142,0.277142,0.277142,0.277142,0.277142
11,0.276998,0.276998,0.276998,0.276998,0.276998
12,0.277431,0.277431,0.277431,0.277431,0.277431
13,0.277576,0.277576,0.277576,0.277576,0.277576
14,0.278153,0.278153,0.278153,0.278153,0.278153
15,0.278298,0.278298,0.278298,0.278298,0.278298
16,0.278442,0.278442,0.278442,0.278442,0.278442
17,0.27902,0.27902,0.27902,0.27902,0.27902
18,0.27902,0.27902,0.27902,0.27902,0.27902
19,0.279598,0.279598,0.279598,0.279598,0.279598
20,0.280031,0.280031,0.280031,0.280031,0.280031
21,0.280609,0.280609,0.280609,0.280609,0.280609
22,0.280753,0.280753,0.280753,0.280753,0.280753
23,0.281186,0.281186,0.281186,0.281186,0.281186
24,0.281331,0.281331,0.281331,0.281331,0.281331
25,0.281186,0.281186,0.281186,0.281186,0.281186
26,0.281764,0.281764,0.281764,0.281764,0.281764
27,0.282342,0.282342,0.282342,0.282342,0.282342
28,0.282342,0.282342,0.282342,0.282342,0.282342
29,0.283208,0.283208,0.283208,0.283208,0.283208
30,0.283208,0.283208,0.283208,0.283208,0.283208
31,0.283497,0.283497,0.283497,0.283497,0.283497
32,0.283641,0.283641,0.283641,0.283641,0.283641
33,0.284219,0.284219,0.284219,0.284219,0.284219
34,0.284508,0.284508,0.284508,0.284508,0.284508
35,0.284941,0.284941,0.284941,0.284941,0.284941
36,0.284941,0.284941,0.284941,0.284941,0.284941
37,0.285086,0.285086,0.285086,0.285086,0.285086
38,0.285374,0.285374,0.285374,0.285374,0.285374
39,0.285952,0.285952,0.285952,0.285952,0.285952
40,0.285663,0.285663,0.285663,0.285663,0.285663
41,0.286674,0.286674,0.286674,0.286674,0.286674
42,0.28653,0.28653,0.28653,0.28653,0.28653
43,0.287107,0.287107,0.287107,0.287107,0.287107
44,0.287252,0.287252,0.287252,0.287252,0.287252
45,0.287396,0.287396,0.287396,0.287396,0.287396
46,0.287541,0.287541,0.287541,0.287541,0.287541
47,0.287974,0.287974,0.287974,0.287974,0.287974
48,0.288407,0.288407,0.288407,0.288407,0.288407
49,0.288696,0.288696,0.288696,0.288696,0.288696
50,0.288985,0.288985,0.288985,0.288985,0.288985
51,0.289418,0.289418,0.289418,0.289418,0.289418
52,0.289563,0.289563,0.289563,0.289563,0.289563
53,0.29014,0.29014,0.29014,0.29014,0.29014
54,0.290429,0.290429,0.290429,0.290429,0.290429
55,0.290429,0.290429,0.290429,0.290429,0.290429
56,0.290862,0.290862,0.290862,0.290862,0.290862
57,0.291007,0.291007,0.291007,0.291007,0.291007
58,0.291584,0.291584,0.291584,0.291584,0.291584
59,0.291729,0.291729,0.291729,0.291729,0.291729
60,0.292018,0.292018,0.292018,0.292018,0.292018
61,0.292307,0.292307,0.292307,0.292307,0.292307
62,0.292884,0.292884,0.292884,0.292884,0.292884
63,0.293173,0.293173,0.293173,0.293173,0.293173
64,0.293462,0.293462,0.293462,0.293462,0.293462
65,0.293606,0.293606,0.293606,0.293606,0.293606
66,0.293895,0.293895,0.293895,0.293895,0.293895
67,0.29404,0.29404,0.29404,0.29404,0.29404
68,0.294328,0.294328,0.294328,0.294328,0.294328
69,0.295051,0.295051,0.295051,0.295051,0.295051
70,0.294906,0.294906,0.294906,0.294906,0.294906
71,0.295339,0.295339,0.295339,0.295339,0.295339
72,0.295628,0.295628,0.295628,0.295628,0.295628
73,0.296206,0.296206,0.296206,0.296206,0.296206
74,0.296206,0.296206,0.296206,0.296206,0.296206
75,0.296495,0.296495,0.296495,0.296495,0.296495
