[s],MA1[],CH1[V],CH2[V]
-0.00099304,0.0994125,,
-0.000993,0.0993805,,
-0.00099296,0.0994445,,
-0.00099292,0.0995005,,
-0.00099288,0.0995005,,
-0.00099284,0.09953250000000001,,
-0.0009928,0.0995005,,
-0.00099276,0.0995645,,
-0.00099272,0.09959660000000001,,
-0.00099268,0.09962860000000001,,
-0.00099264,0.0996926,,
-0.0009926,0.09972460000000001,,
-0.00099256,0.09972460000000001,,
-0.00099252,0.09981260000000002,,
-0.00099248,0.0999087,,
-0.00099244,0.0999727,,
-0.0009924,0.100037,,
-0.00099236,0.100101,,
-0.00099232,0.10015700000000001,,
-0.00099228,0.100189,,
-0.00099224,0.10034900000000001,,
-0.0009922,0.100381,,
-0.00099216,0.100413,,
-0.00099212,0.100469,,
-0.00099208,0.100565,,
-0.00099204,0.100597,,
-0.000992,0.100661,,
-0.00099196,0.100533,,
-0.00099192,0.100413,,
-0.00099188,0.101253,,
-0.00099184,0.10131699999999999,,
-0.0009918,0.100629,,
-0.00099176,0.10069299999999999,,
-0.00099172,0.101125,,
-0.00099168,0.101189,,
-0.00099164,0.101037,,
-0.0009916,0.10131699999999999,,
-0.00099156,0.101469,,
-0.00099152,0.101381,,
-0.00099148,0.101349,,
-0.00099144,0.10144500000000001,,
-0.0009914,0.101533,,
-0.00099136,0.101469,,
-0.00099132,0.101469,,
-0.00099128,0.101533,,
-0.00099124,0.101469,,
-0.0009912,0.10144500000000001,,
-0.00099116,0.101533,,
-0.00099112,0.101565,,
-0.00099108,0.101597,,
-0.00099104,0.101661,,
-0.000991,0.101725,,
-0.00099096,0.10169299999999999,,
-0.00099092,0.10169299999999999,,
-0.00099088,0.101725,,
-0.00099084,0.101725,,
-0.0009908,0.101781,,
-0.00099076,0.101878,,
-0.00099072,0.10191,,
-0.00099068,0.10207000000000001,,
-0.00099064,0.102126,,
-0.0009906,0.102158,,
-0.00099056,0.102158,,
-0.00099052,0.10219,,
-0.00099048,0.10231799999999999,,
-0.00099044,0.10235,,
-0.0009904,0.102414,,
-0.00099036,0.102414,,
-0.00099032,0.102382,,
-0.00099028,0.10247,,
-0.00099024,0.102502,,
-0.0009902,0.102566,,
-0.00099016,0.10266199999999999,,
-0.00099012,0.10266199999999999,,
-0.00099008,0.102726,,
-0.00099004,0.10269400000000001,,
-0.00099,0.102782,,
-0.00098996,0.10290999999999999,,
-0.00098992,0.102974,,
