[s],MA1[]
-9.99960e-04,9.25056E-02
-9.99920e-04,9.25376E-02
-9.99880e-04,9.26257E-02
-9.99840e-04,9.27217E-02
-9.99800e-04,9.26577E-02
-9.99760e-04,9.26017E-02
-9.99720e-04,9.27537E-02
-9.99680e-04,9.28818E-02
-9.99640e-04,9.28818E-02
-9.99600e-04,9.29698E-02
-9.99560e-04,9.29138E-02
-9.99520e-04,9.28818E-02
-9.99480e-04,9.28818E-02
-9.99440e-04,9.28818E-02
-9.99400e-04,9.29378E-02
-9.99360e-04,9.29698E-02
-9.99320e-04,9.29698E-02
-9.99280e-04,9.30979E-02
-9.99240e-04,9.30659E-02
-9.99200e-04,9.31619E-02
-9.99160e-04,9.31299E-02
-9.99120e-04,9.30659E-02
-9.99080e-04,9.31299E-02
-9.99040e-04,9.31619E-02
-9.99000e-04,9.32579E-02
-9.98960e-04,9.32579E-02
-9.98920e-04,9.32579E-02
-9.98880e-04,9.33140E-02
-9.98840e-04,9.34420E-02
-9.98800e-04,9.34420E-02
-9.98760e-04,9.35060E-02
-9.98720e-04,9.35060E-02
-9.98680e-04,9.34740E-02
-9.98640e-04,9.35060E-02
-9.98600e-04,9.35701E-02
-9.98560e-04,9.34740E-02
-9.98520e-04,9.35060E-02
-9.98480e-04,9.35060E-02
-9.98440e-04,9.35381E-02
-9.98400e-04,9.35941E-02
-9.98360e-04,9.36261E-02
-9.98320e-04,9.36261E-02
-9.98280e-04,9.36261E-02
-9.98240e-04,9.35941E-02
-9.98200e-04,9.36901E-02
-9.98160e-04,9.36901E-02
-9.98120e-04,9.36581E-02
-9.98080e-04,9.37221E-02
-9.98040e-04,9.37541E-02
-9.98000e-04,9.38502E-02
-9.97960e-04,9.38182E-02
-9.97920e-04,9.38502E-02
-9.97880e-04,9.38502E-02
-9.97840e-04,9.38822E-02
-9.97800e-04,9.38502E-02
-9.97760e-04,9.39142E-02
-9.97720e-04,9.39142E-02
-9.97680e-04,9.38822E-02
-9.97640e-04,9.38822E-02
-9.97600e-04,9.38822E-02
-9.97560e-04,9.38822E-02
-9.97520e-04,9.39142E-02
-9.97480e-04,9.40022E-02
-9.97440e-04,9.40022E-02
-9.97400e-04,9.40343E-02
-9.97360e-04,9.40343E-02
-9.97320e-04,9.40983E-02
-9.97280e-04,9.41303E-02
-9.97240e-04,9.41623E-02
-9.97200e-04,9.41943E-02
-9.97160e-04,9.42263E-02
-9.97120e-04,9.42263E-02
-9.97080e-04,9.41943E-02
-9.97040e-04,9.42263E-02
-9.97000e-04,9.42503E-02
-9.96960e-04,9.43144E-02
-9.96920e-04,9.43464E-02
-9.96880e-04,9.43464E-02
-9.96840e-04,9.43464E-02
-9.96800e-04,9.43144E-02
-9.96760e-04,9.43784E-02
-9.96720e-04,9.43464E-02
-9.96680e-04,9.44424E-02
-9.96640e-04,9.45065E-02
-9.96600e-04,9.46265E-02
-9.96560e-04,9.47866E-02
-9.96520e-04,9.47866E-02
-9.96480e-04,9.48186E-02
-9.96440e-04,9.48826E-02
-9.96400e-04,9.49066E-02
-9.96360e-04,9.49706E-02
-9.96320e-04,9.49386E-02
-9.96280e-04,9.49066E-02
-9.96240e-04,9.49066E-02
-9.96200e-04,9.49386E-02
-9.96160e-04,9.49706E-02
-9.96120e-04,9.50667E-02
-9.96080e-04,9.50667E-02
-9.96040e-04,9.51307E-02
-9.96000e-04,9.51307E-02
-9.95960e-04,9.51627E-02
-9.95920e-04,9.52508E-02
-9.95880e-04,9.53148E-02
-9.95840e-04,9.54108E-02
-9.95800e-04,9.53788E-02
-9.95760e-04,9.54749E-02
-9.95720e-04,9.55069E-02
-9.95680e-04,9.55069E-02
-9.95640e-04,9.55389E-02
-9.95600e-04,9.55389E-02
-9.95560e-04,9.55949E-02
-9.95520e-04,9.55629E-02
-9.95480e-04,9.55949E-02
-9.95440e-04,9.56269E-02
-9.95400e-04,9.56589E-02
-9.95360e-04,9.56589E-02
-9.95320e-04,9.56589E-02
-9.95280e-04,9.57230E-02
-9.95240e-04,9.57550E-02
-9.95200e-04,9.58190E-02
-9.95160e-04,9.59070E-02
-9.95120e-04,9.60031E-02
-9.95080e-04,9.60991E-02
-9.95040e-04,9.61951E-02
-9.95000e-04,9.62192E-02
-9.94960e-04,9.62192E-02
-9.94920e-04,9.61951E-02
-9.94880e-04,9.61951E-02
-9.94840e-04,9.62512E-02
-9.94800e-04,9.62832E-02
-9.94760e-04,9.62832E-02
-9.94720e-04,9.63472E-02
-9.94680e-04,9.64112E-02
-9.94640e-04,9.65073E-02
-9.94600e-04,9.65393E-02
