,0,1,2,3,4
0,0.197998,0.197998,0.197998,0.197998,0.197998
1,0.197021,0.197021,0.197021,0.197021,0.197021
2,0.197266,0.197266,0.197266,0.197266,0.197266
3,0.19751,0.19751,0.19751,0.19751,0.19751
4,0.196655,0.196655,0.196655,0.196655,0.196655
5,0.197021,0.197021,0.197021,0.197021,0.197021
6,0.196899,0.196899,0.196899,0.196899,0.196899
7,0.196411,0.196411,0.196411,0.196411,0.196411
8,0.196167,0.196167,0.196167,0.196167,0.196167
9,0.196777,0.196777,0.196777,0.196777,0.196777
10,0.196655,0.196655,0.196655,0.196655,0.196655
11,0.195312,0.195312,0.195312,0.195312,0.195312
12,0.195923,0.195923,0.195923,0.195923,0.195923
13,0.196167,0.196167,0.196167,0.196167,0.196167
14,0.195312,0.195312,0.195312,0.195312,0.195312
15,0.195679,0.195679,0.195679,0.195679,0.195679
16,0.195923,0.195923,0.195923,0.195923,0.195923
17,0.19519,0.19519,0.19519,0.19519,0.19519
18,0.194824,0.194824,0.194824,0.194824,0.194824
19,0.195679,0.195679,0.195679,0.195679,0.195679
20,0.195679,0.195679,0.195679,0.195679,0.195679
21,0.19458,0.19458,0.19458,0.19458,0.19458
22,0.194946,0.194946,0.194946,0.194946,0.194946
23,0.19519,0.19519,0.19519,0.19519,0.19519
24,0.194458,0.194458,0.194458,0.194458,0.194458
25,0.194214,0.194214,0.194214,0.194214,0.194214
26,0.195068,0.195068,0.195068,0.195068,0.195068
27,0.194336,0.194336,0.194336,0.194336,0.194336
28,0.193848,0.193848,0.193848,0.193848,0.193848
29,0.194336,0.194336,0.194336,0.194336,0.194336
30,0.194946,0.194946,0.194946,0.194946,0.194946
31,0.19397,0.19397,0.19397,0.19397,0.19397
32,0.193604,0.193604,0.193604,0.193604,0.193604
33,0.194458,0.194458,0.194458,0.194458,0.194458
34,0.194092,0.194092,0.194092,0.194092,0.194092
35,0.193115,0.193115,0.193115,0.193115,0.193115
36,0.193604,0.193604,0.193604,0.193604,0.193604
37,0.19397,0.19397,0.19397,0.19397,0.19397
38,0.192627,0.192627,0.192627,0.192627,0.192627
39,0.193115,0.193115,0.193115,0.193115,0.193115
40,0.193604,0.193604,0.193604,0.193604,0.193604
41,0.192749,0.192749,0.192749,0.192749,0.192749
42,0.191895,0.191895,0.191895,0.191895,0.191895
43,0.192627,0.192627,0.192627,0.192627,0.192627
44,0.192139,0.192139,0.192139,0.192139,0.192139
45,0.190918,0.190918,0.190918,0.190918,0.190918
46,0.191162,0.191162,0.191162,0.191162,0.191162
47,0.191772,0.191772,0.191772,0.191772,0.191772
48,0.190186,0.190186,0.190186,0.190186,0.190186
49,0.190552,0.190552,0.190552,0.190552,0.190552
50,0.19104,0.19104,0.19104,0.19104,0.19104
51,0.190186,0.190186,0.190186,0.190186,0.190186
52,0.188965,0.188965,0.188965,0.188965,0.188965
53,0.190063,0.190063,0.190063,0.190063,0.190063
54,0.190186,0.190186,0.190186,0.190186,0.190186
55,0.188477,0.188477,0.188477,0.188477,0.188477
56,0.189087,0.189087,0.189087,0.189087,0.189087
57,0.189575,0.189575,0.189575,0.189575,0.189575
58,0.188232,0.188232,0.188232,0.188232,0.188232
59,0.18811,0.18811,0.18811,0.18811,0.18811
60,0.189331,0.189331,0.189331,0.189331,0.189331
61,0.188843,0.188843,0.188843,0.188843,0.188843
62,0.18689,0.18689,0.18689,0.18689,0.18689
63,0.188354,0.188354,0.188354,0.188354,0.188354
64,0.188599,0.188599,0.188599,0.188599,0.188599
65,0.187256,0.187256,0.187256,0.187256,0.187256
66,0.1875,0.1875,0.1875,0.1875,0.1875
67,0.18811,0.18811,0.18811,0.18811,0.18811
68,0.187134,0.187134,0.187134,0.187134,0.187134
69,0.186401,0.186401,0.186401,0.186401,0.186401
70,0.187744,0.187744,0.187744,0.187744,0.187744
71,0.187378,0.187378,0.187378,0.187378,0.187378
72,0.186035,0.186035,0.186035,0.186035,0.186035
73,0.186768,0.186768,0.186768,0.186768,0.186768
74,0.187134,0.187134,0.187134,0.187134,0.187134
75,0.186035,0.186035,0.186035,0.186035,0.186035
76,0.185547,0.185547,0.185547,0.185547,0.185547
77,0.186157,0.186157,0.186157,0.186157,0.186157
78,0.185913,0.185913,0.185913,0.185913,0.185913
79,0.18457,0.18457,0.18457,0.18457,0.18457
80,0.185547,0.185547,0.185547,0.185547,0.185547
81,0.185669,0.185669,0.185669,0.185669,0.185669
82,0.183594,0.183594,0.183594,0.183594,0.183594
83,0.184204,0.184204,0.184204,0.184204,0.184204
84,0.184937,0.184937,0.184937,0.184937,0.184937
85,0.18396,0.18396,0.18396,0.18396,0.18396
86,0.18335,0.18335,0.18335,0.18335,0.18335
87,0.184082,0.184082,0.184082,0.184082,0.184082
88,0.18396,0.18396,0.18396,0.18396,0.18396
89,0.182617,0.182617,0.182617,0.182617,0.182617
90,0.183472,0.183472,0.183472,0.183472,0.183472
91,0.183838,0.183838,0.183838,0.183838,0.183838
92,0.182251,0.182251,0.182251,0.182251,0.182251
93,0.182373,0.182373,0.182373,0.182373,0.182373
94,0.18335,0.18335,0.18335,0.18335,0.18335
95,0.182739,0.182739,0.182739,0.182739,0.182739
96,0.181763,0.181763,0.181763,0.181763,0.181763
97,0.182617,0.182617,0.182617,0.182617,0.182617
98,0.182617,0.182617,0.182617,0.182617,0.182617
99,0.181396,0.181396,0.181396,0.181396,0.181396
100,0.182007,0.182007,0.182007,0.182007,0.182007
101,0.182373,0.182373,0.182373,0.182373,0.182373
102,0.181396,0.181396,0.181396,0.181396,0.181396
103,0.181152,0.181152,0.181152,0.181152,0.181152
104,0.182251,0.182251,0.182251,0.182251,0.182251
105,0.181763,0.181763,0.181763,0.181763,0.181763
106,0.18042,0.18042,0.18042,0.18042,0.18042
107,0.181519,0.181519,0.181519,0.181519,0.181519
108,0.181396,0.181396,0.181396,0.181396,0.181396
109,0.180176,0.180176,0.180176,0.180176,0.180176
110,0.180542,0.180542,0.180542,0.180542,0.180542
111,0.181152,0.181152,0.181152,0.181152,0.181152
112,0.180298,0.180298,0.180298,0.180298,0.180298
113,0.179321,0.179321,0.179321,0.179321,0.179321
114,0.180298,0.180298,0.180298,0.180298,0.180298
115,0.179932,0.179932,0.179932,0.179932,0.179932
116,0.178955,0.178955,0.178955,0.178955,0.178955
117,0.179077,0.179077,0.179077,0.179077,0.179077
118,0.179688,0.179688,0.179688,0.179688,0.179688
119,0.178589,0.178589,0.178589,0.178589,0.178589
120,0.178345,0.178345,0.178345,0.178345,0.178345
121,0.178833,0.178833,0.178833,0.178833,0.178833
122,0.178101,0.178101,0.178101,0.178101,0.178101
123,0.177124,0.177124,0.177124,0.177124,0.177124
124,0.178223,0.178223,0.178223,0.178223,0.178223
125,0.178223,0.178223,0.178223,0.178223,0.178223
126,0.17688,0.17688,0.17688,0.17688,0.17688
127,0.177246,0.177246,0.177246,0.177246,0.177246
128,0.177734,0.177734,0.177734,0.177734,0.177734
129,0.177124,0.177124,0.177124,0.177124,0.177124
130,0.17627,0.17627,0.17627,0.17627,0.17627
131,0.177124,0.177124,0.177124,0.177124,0.177124
132,0.177002,0.177002,0.177002,0.177002,0.177002
133,0.175781,0.175781,0.175781,0.175781,0.175781
134,0.176758,0.176758,0.176758,0.176758,0.176758
135,0.17688,0.17688,0.17688,0.17688,0.17688
136,0.175903,0.175903,0.175903,0.175903,0.175903
137,0.175537,0.175537,0.175537,0.175537,0.175537
138,0.176514,0.176514,0.176514,0.176514,0.176514
139,0.17627,0.17627,0.17627,0.17627,0.17627
140,0.174805,0.174805,0.174805,0.174805,0.174805
141,0.175903,0.175903,0.175903,0.175903,0.175903
142,0.175537,0.175537,0.175537,0.175537,0.175537
143,0.174561,0.174561,0.174561,0.174561,0.174561
144,0.175049,0.175049,0.175049,0.175049,0.175049
145,0.175415,0.175415,0.175415,0.175415,0.175415
146,0.174927,0.174927,0.174927,0.174927,0.174927
147,0.173828,0.173828,0.173828,0.173828,0.173828
148,0.175049,0.175049,0.175049,0.175049,0.175049
149,0.174805,0.174805,0.174805,0.174805,0.174805
150,0.173584,0.173584,0.173584,0.173584,0.173584
151,0.174438,0.174438,0.174438,0.174438,0.174438
152,0.174316,0.174316,0.174316,0.174316,0.174316
153,0.17334,0.17334,0.17334,0.17334,0.17334
154,0.173462,0.173462,0.173462,0.173462,0.173462
155,0.174438,0.174438,0.174438,0.174438,0.174438
156,0.17395,0.17395,0.17395,0.17395,0.17395
157,0.17334,0.17334,0.17334,0.17334,0.17334
158,0.17395,0.17395,0.17395,0.17395,0.17395
159,0.174194,0.174194,0.174194,0.174194,0.174194
160,0.173584,0.173584,0.173584,0.173584,0.173584
161,0.17395,0.17395,0.17395,0.17395,0.17395
162,0.174316,0.174316,0.174316,0.174316,0.174316
163,0.17395,0.17395,0.17395,0.17395,0.17395
164,0.17334,0.17334,0.17334,0.17334,0.17334
165,0.174316,0.174316,0.174316,0.174316,0.174316
166,0.174072,0.174072,0.174072,0.174072,0.174072
167,0.173218,0.173218,0.173218,0.173218,0.173218
168,0.173584,0.173584,0.173584,0.173584,0.173584
169,0.173706,0.173706,0.173706,0.173706,0.173706
170,0.17334,0.17334,0.17334,0.17334,0.17334
171,0.173096,0.173096,0.173096,0.173096,0.173096
172,0.17334,0.17334,0.17334,0.17334,0.17334
173,0.172729,0.172729,0.172729,0.172729,0.172729
174,0.171997,0.171997,0.171997,0.171997,0.171997
175,0.172241,0.172241,0.172241,0.172241,0.172241
176,0.172241,0.172241,0.172241,0.172241,0.172241
177,0.171021,0.171021,0.171021,0.171021,0.171021
178,0.170898,0.170898,0.170898,0.170898,0.170898
179,0.171021,0.171021,0.171021,0.171021,0.171021
180,0.17041,0.17041,0.17041,0.17041,0.17041
181,0.169678,0.169678,0.169678,0.169678,0.169678
182,0.1698,0.1698,0.1698,0.1698,0.1698
183,0.169556,0.169556,0.169556,0.169556,0.169556
184,0.168457,0.168457,0.168457,0.168457,0.168457
