,0,1,2,3,4
0,0.230835,0.230835,0.230835,0.230835,0.230835
1,0.230835,0.230835,0.230835,0.230835,0.230835
2,0.230713,0.230713,0.230713,0.230713,0.230713
3,0.230957,0.230957,0.230957,0.230957,0.230957
4,0.230835,0.230835,0.230835,0.230835,0.230835
5,0.230713,0.230713,0.230713,0.230713,0.230713
6,0.230957,0.230957,0.230957,0.230957,0.230957
7,0.230835,0.230835,0.230835,0.230835,0.230835
8,0.230957,0.230957,0.230957,0.230957,0.230957
9,0.231079,0.231079,0.231079,0.231079,0.231079
10,0.230835,0.230835,0.230835,0.230835,0.230835
11,0.230835,0.230835,0.230835,0.230835,0.230835
12,0.230957,0.230957,0.230957,0.230957,0.230957
13,0.230835,0.230835,0.230835,0.230835,0.230835
14,0.230835,0.230835,0.230835,0.230835,0.230835
15,0.230957,0.230957,0.230957,0.230957,0.230957
16,0.231079,0.231079,0.231079,0.231079,0.231079
17,0.231079,0.231079,0.231079,0.231079,0.231079
18,0.230835,0.230835,0.230835,0.230835,0.230835
19,0.231201,0.231201,0.231201,0.231201,0.231201
20,0.231445,0.231445,0.231445,0.231445,0.231445
21,0.230835,0.230835,0.230835,0.230835,0.230835
22,0.231323,0.231323,0.231323,0.231323,0.231323
23,0.231445,0.231445,0.231445,0.231445,0.231445
24,0.231201,0.231201,0.231201,0.231201,0.231201
25,0.231445,0.231445,0.231445,0.231445,0.231445
26,0.231567,0.231567,0.231567,0.231567,0.231567
27,0.231567,0.231567,0.231567,0.231567,0.231567
28,0.231445,0.231445,0.231445,0.231445,0.231445
29,0.231689,0.231689,0.231689,0.231689,0.231689
30,0.231689,0.231689,0.231689,0.231689,0.231689
31,0.231567,0.231567,0.231567,0.231567,0.231567
32,0.231689,0.231689,0.231689,0.231689,0.231689
33,0.231689,0.231689,0.231689,0.231689,0.231689
34,0.231567,0.231567,0.231567,0.231567,0.231567
35,0.231567,0.231567,0.231567,0.231567,0.231567
36,0.231934,0.231934,0.231934,0.231934,0.231934
37,0.231567,0.231567,0.231567,0.231567,0.231567
38,0.231567,0.231567,0.231567,0.231567,0.231567
39,0.231689,0.231689,0.231689,0.231689,0.231689
40,0.231567,0.231567,0.231567,0.231567,0.231567
41,0.231323,0.231323,0.231323,0.231323,0.231323
42,0.231689,0.231689,0.231689,0.231689,0.231689
43,0.231445,0.231445,0.231445,0.231445,0.231445
44,0.231201,0.231201,0.231201,0.231201,0.231201
45,0.231567,0.231567,0.231567,0.231567,0.231567
46,0.231323,0.231323,0.231323,0.231323,0.231323
47,0.231201,0.231201,0.231201,0.231201,0.231201
48,0.231079,0.231079,0.231079,0.231079,0.231079
49,0.231201,0.231201,0.231201,0.231201,0.231201
50,0.231079,0.231079,0.231079,0.231079,0.231079
51,0.230835,0.230835,0.230835,0.230835,0.230835
52,0.230835,0.230835,0.230835,0.230835,0.230835
53,0.230957,0.230957,0.230957,0.230957,0.230957
54,0.230713,0.230713,0.230713,0.230713,0.230713
55,0.230713,0.230713,0.230713,0.230713,0.230713
56,0.230957,0.230957,0.230957,0.230957,0.230957
57,0.230591,0.230591,0.230591,0.230591,0.230591
58,0.230469,0.230469,0.230469,0.230469,0.230469
59,0.230591,0.230591,0.230591,0.230591,0.230591
60,0.230591,0.230591,0.230591,0.230591,0.230591
61,0.230591,0.230591,0.230591,0.230591,0.230591
62,0.230225,0.230225,0.230225,0.230225,0.230225
63,0.230713,0.230713,0.230713,0.230713,0.230713
64,0.230469,0.230469,0.230469,0.230469,0.230469
65,0.230469,0.230469,0.230469,0.230469,0.230469
66,0.230469,0.230469,0.230469,0.230469,0.230469
67,0.230591,0.230591,0.230591,0.230591,0.230591
68,0.230469,0.230469,0.230469,0.230469,0.230469
69,0.230591,0.230591,0.230591,0.230591,0.230591
70,0.230469,0.230469,0.230469,0.230469,0.230469
71,0.230347,0.230347,0.230347,0.230347,0.230347
72,0.230591,0.230591,0.230591,0.230591,0.230591
73,0.230469,0.230469,0.230469,0.230469,0.230469
74,0.230225,0.230225,0.230225,0.230225,0.230225
75,0.230225,0.230225,0.230225,0.230225,0.230225
76,0.230347,0.230347,0.230347,0.230347,0.230347
77,0.230469,0.230469,0.230469,0.230469,0.230469
78,0.230225,0.230225,0.230225,0.230225,0.230225
79,0.230591,0.230591,0.230591,0.230591,0.230591
80,0.230347,0.230347,0.230347,0.230347,0.230347
81,0.230347,0.230347,0.230347,0.230347,0.230347
82,0.230103,0.230103,0.230103,0.230103,0.230103
83,0.230103,0.230103,0.230103,0.230103,0.230103
84,0.230347,0.230347,0.230347,0.230347,0.230347
85,0.230103,0.230103,0.230103,0.230103,0.230103
86,0.229858,0.229858,0.229858,0.229858,0.229858
87,0.22998,0.22998,0.22998,0.22998,0.22998
88,0.230103,0.230103,0.230103,0.230103,0.230103
89,0.230103,0.230103,0.230103,0.230103,0.230103
90,0.22998,0.22998,0.22998,0.22998,0.22998
91,0.229858,0.229858,0.229858,0.229858,0.229858
92,0.22998,0.22998,0.22998,0.22998,0.22998
93,0.22998,0.22998,0.22998,0.22998,0.22998
94,0.229858,0.229858,0.229858,0.229858,0.229858
95,0.22998,0.22998,0.22998,0.22998,0.22998
96,0.230225,0.230225,0.230225,0.230225,0.230225
97,0.229858,0.229858,0.229858,0.229858,0.229858
98,0.230103,0.230103,0.230103,0.230103,0.230103
99,0.22998,0.22998,0.22998,0.22998,0.22998
100,0.22998,0.22998,0.22998,0.22998,0.22998
101,0.230103,0.230103,0.230103,0.230103,0.230103
102,0.230103,0.230103,0.230103,0.230103,0.230103
103,0.230225,0.230225,0.230225,0.230225,0.230225
104,0.22998,0.22998,0.22998,0.22998,0.22998
105,0.22998,0.22998,0.22998,0.22998,0.22998
106,0.230103,0.230103,0.230103,0.230103,0.230103
107,0.230347,0.230347,0.230347,0.230347,0.230347
108,0.230103,0.230103,0.230103,0.230103,0.230103
109,0.230347,0.230347,0.230347,0.230347,0.230347
110,0.230225,0.230225,0.230225,0.230225,0.230225
111,0.230225,0.230225,0.230225,0.230225,0.230225
112,0.230225,0.230225,0.230225,0.230225,0.230225
113,0.230103,0.230103,0.230103,0.230103,0.230103
114,0.230225,0.230225,0.230225,0.230225,0.230225
115,0.230225,0.230225,0.230225,0.230225,0.230225
116,0.229858,0.229858,0.229858,0.229858,0.229858
117,0.230103,0.230103,0.230103,0.230103,0.230103
118,0.230103,0.230103,0.230103,0.230103,0.230103
119,0.230103,0.230103,0.230103,0.230103,0.230103
120,0.229858,0.229858,0.229858,0.229858,0.229858
121,0.229858,0.229858,0.229858,0.229858,0.229858
122,0.229736,0.229736,0.229736,0.229736,0.229736
