#time	V(in1)	V(in2)	I(R3)
4.685669261546344e-04	4.258518e+00	2.202879e+00	2.055639e-03
4.980468750000000e-04	4.526517e+00	2.214255e+00	2.312262e-03
5.000000000000000e-04	4.544272e+00	2.215041e+00	2.329231e-03
5.000128893502872e-04	4.544390e+00	2.215046e+00	2.329344e-03
5.000443672188496e-04	4.544617e+00	2.215056e+00	2.329561e-03
5.000758450874118e-04	4.544754e+00	2.215062e+00	2.329691e-03
5.001073229559742e-04	4.544801e+00	2.215065e+00	2.329736e-03
5.001388008245365e-04	4.544757e+00	2.215063e+00	2.329694e-03
5.001702786930988e-04	4.544624e+00	2.215057e+00	2.329567e-03
5.002017565616611e-04	4.544401e+00	2.215048e+00	2.329353e-03
5.002332344302235e-04	4.544088e+00	2.215034e+00	2.329054e-03
5.003471426031883e-04	4.542777e+00	2.214976e+00	2.327800e-03
5.005299878508026e-04	4.540547e+00	2.214878e+00	2.325670e-03
5.006754894047056e-04	4.539103e+00	2.214814e+00	2.324289e-03
5.008974995466355e-04	4.537153e+00	2.214727e+00	2.322425e-03
5.011195096885654e-04	4.535186e+00	2.214641e+00	2.320546e-03
5.013415198304954e-04	4.533204e+00	2.214553e+00	2.318651e-03
5.015635299724253e-04	4.531206e+00	2.214464e+00	2.316741e-03
5.017855401143553e-04	4.529192e+00	2.214375e+00	2.314816e-03
5.020075502562852e-04	4.527162e+00	2.214286e+00	2.312877e-03
5.022295603982151e-04	4.525116e+00	2.214195e+00	2.310922e-03
5.319438447039999e-04	4.254987e+00	2.202750e+00	2.052237e-03
5.616581290097847e-04	3.984860e+00	2.189812e+00	1.795048e-03
5.913724133155694e-04	3.714736e+00	2.175379e+00	1.539357e-03
6.210866976213542e-04	3.444616e+00	2.159454e+00	1.285162e-03
6.508009819271390e-04	3.174499e+00	2.142034e+00	1.032464e-03
6.805152662329238e-04	2.904384e+00	2.123121e+00	7.812633e-04
7.102295505387085e-04	2.634273e+00	2.102714e+00	5.315591e-04
7.172049969672799e-04	2.570867e+00	2.097284e+00	4.735824e-04
7.241804433958514e-04	2.507462e+00	2.091265e+00	4.161969e-04
7.311558898244228e-04	2.444060e+00	2.084657e+00	3.594028e-04
7.381313362529943e-04	2.380660e+00	2.077460e+00	3.032000e-04
7.451067826815658e-04	2.317262e+00	2.069674e+00	2.475885e-04
7.520822291101372e-04	2.253867e+00	2.061298e+00	1.925684e-04
7.590576755387086e-04	2.190473e+00	2.052334e+00	1.381395e-04
7.649170505387086e-04	2.137227e+00	2.043160e+00	9.406675e-05
