0,1,2,3
0.253784,0.253784,0.253784,0.253784
0.253662,0.253662,0.253662,0.253662
0.253662,0.253662,0.253662,0.253662
0.254028,0.254028,0.254028,0.254028
0.25354,0.25354,0.25354,0.25354
0.252075,0.252075,0.252075,0.252075
0.251709,0.251709,0.251709,0.251709
0.251831,0.251831,0.251831,0.251831
0.251465,0.251465,0.251465,0.251465
0.251709,0.251709,0.251709,0.251709
0.251953,0.251953,0.251953,0.251953
0.251709,0.251709,0.251709,0.251709
0.251221,0.251221,0.251221,0.251221
0.250122,0.250122,0.250122,0.250122
0.249756,0.249756,0.249756,0.249756
0.250244,0.250244,0.250244,0.250244
0.250488,0.250488,0.250488,0.250488
0.250122,0.250122,0.250122,0.250122
0.250244,0.250244,0.250244,0.250244
0.250244,0.250244,0.250244,0.250244
0.249023,0.249023,0.249023,0.249023
0.248535,0.248535,0.248535,0.248535
0.248169,0.248169,0.248169,0.248169
0.248169,0.248169,0.248169,0.248169
0.248901,0.248901,0.248901,0.248901
0.248535,0.248535,0.248535,0.248535
0.249023,0.249023,0.249023,0.249023
0.248169,0.248169,0.248169,0.248169
0.246338,0.246338,0.246338,0.246338
0.246948,0.246948,0.246948,0.246948
0.246582,0.246582,0.246582,0.246582
0.246948,0.246948,0.246948,0.246948
0.246582,0.246582,0.246582,0.246582
0.24646,0.24646,0.24646,0.24646
0.246582,0.246582,0.246582,0.246582
0.245239,0.245239,0.245239,0.245239
0.244019,0.244019,0.244019,0.244019
0.244019,0.244019,0.244019,0.244019
0.244141,0.244141,0.244141,0.244141
0.244141,0.244141,0.244141,0.244141
0.243896,0.243896,0.243896,0.243896
0.244141,0.244141,0.244141,0.244141
0.244019,0.244019,0.244019,0.244019
0.242432,0.242432,0.242432,0.242432
0.241821,0.241821,0.241821,0.241821
0.241821,0.241821,0.241821,0.241821
0.242432,0.242432,0.242432,0.242432
0.24231,0.24231,0.24231,0.24231
0.242065,0.242065,0.242065,0.242065
0.241699,0.241699,0.241699,0.241699
0.241821,0.241821,0.241821,0.241821
0.239746,0.239746,0.239746,0.239746
0.23999,0.23999,0.23999,0.23999
0.240112,0.240112,0.240112,0.240112
0.23999,0.23999,0.23999,0.23999
0.240112,0.240112,0.240112,0.240112
0.240234,0.240234,0.240234,0.240234
0.240234,0.240234,0.240234,0.240234
0.23877,0.23877,0.23877,0.23877
0.237793,0.237793,0.237793,0.237793
0.237793,0.237793,0.237793,0.237793
