0,1,2,3
0.255615,0.255615,0.255615,0.255615
0.256226,0.256226,0.256226,0.256226
0.255493,0.255493,0.255493,0.255493
0.255981,0.255981,0.255981,0.255981
0.255371,0.255371,0.255371,0.255371
0.253784,0.253784,0.253784,0.253784
0.254028,0.254028,0.254028,0.254028
0.253906,0.253906,0.253906,0.253906
0.253906,0.253906,0.253906,0.253906
0.253906,0.253906,0.253906,0.253906
0.25415,0.25415,0.25415,0.25415
0.25415,0.25415,0.25415,0.25415
0.252686,0.252686,0.252686,0.252686
0.251587,0.251587,0.251587,0.251587
0.251831,0.251831,0.251831,0.251831
0.251831,0.251831,0.251831,0.251831
0.251831,0.251831,0.251831,0.251831
0.251831,0.251831,0.251831,0.251831
0.251831,0.251831,0.251831,0.251831
0.252075,0.252075,0.252075,0.252075
0.250366,0.250366,0.250366,0.250366
0.249878,0.249878,0.249878,0.249878
0.250122,0.250122,0.250122,0.250122
0.249878,0.249878,0.249878,0.249878
0.250122,0.250122,0.250122,0.250122
0.249878,0.249878,0.249878,0.249878
0.250122,0.250122,0.250122,0.250122
0.250122,0.250122,0.250122,0.250122
0.248291,0.248291,0.248291,0.248291
0.247803,0.247803,0.247803,0.247803
0.248047,0.248047,0.248047,0.248047
0.247803,0.247803,0.247803,0.247803
0.247681,0.247681,0.247681,0.247681
0.247803,0.247803,0.247803,0.247803
0.247803,0.247803,0.247803,0.247803
0.246948,0.246948,0.246948,0.246948
0.245972,0.245972,0.245972,0.245972
0.245361,0.245361,0.245361,0.245361
0.245483,0.245483,0.245483,0.245483
0.24585,0.24585,0.24585,0.24585
0.245972,0.245972,0.245972,0.245972
0.245361,0.245361,0.245361,0.245361
0.246094,0.246094,0.246094,0.246094
0.243774,0.243774,0.243774,0.243774
0.243896,0.243896,0.243896,0.243896
0.244019,0.244019,0.244019,0.244019
0.244385,0.244385,0.244385,0.244385
0.244141,0.244141,0.244141,0.244141
0.243774,0.243774,0.243774,0.243774
0.243408,0.243408,0.243408,0.243408
0.243896,0.243896,0.243896,0.243896
0.241821,0.241821,0.241821,0.241821
0.242065,0.242065,0.242065,0.242065
0.24231,0.24231,0.24231,0.24231
0.242554,0.242554,0.242554,0.242554
0.242432,0.242432,0.242432,0.242432
0.24231,0.24231,0.24231,0.24231
0.24231,0.24231,0.24231,0.24231
0.240845,0.240845,0.240845,0.240845
0.239868,0.239868,0.239868,0.239868
0.240234,0.240234,0.240234,0.240234
0.23999,0.23999,0.23999,0.23999
0.23999,0.23999,0.23999,0.23999
0.240112,0.240112,0.240112,0.240112
0.23999,0.23999,0.23999,0.23999
0.23999,0.23999,0.23999,0.23999
0.238037,0.238037,0.238037,0.238037
0.237671,0.237671,0.237671,0.237671
0.238159,0.238159,0.238159,0.238159
0.238159,0.238159,0.238159,0.238159
0.238281,0.238281,0.238281,0.238281
0.237671,0.237671,0.237671,0.237671
0.238037,0.238037,0.238037,0.238037
0.237427,0.237427,0.237427,0.237427
0.23584,0.23584,0.23584,0.23584
0.235962,0.235962,0.235962,0.235962
0.235962,0.235962,0.235962,0.235962
0.235962,0.235962,0.235962,0.235962
0.235718,0.235718,0.235718,0.235718
0.235718,0.235718,0.235718,0.235718
0.23584,0.23584,0.23584,0.23584
0.234619,0.234619,0.234619,0.234619
0.234253,0.234253,0.234253,0.234253
0.233398,0.233398,0.233398,0.233398
0.233887,0.233887,0.233887,0.233887
0.234619,0.234619,0.234619,0.234619
0.233521,0.233521,0.233521,0.233521
0.233887,0.233887,0.233887,0.233887
0.234253,0.234253,0.234253,0.234253
0.231689,0.231689,0.231689,0.231689
0.231934,0.231934,0.231934,0.231934
0.231689,0.231689,0.231689,0.231689
0.232056,0.232056,0.232056,0.232056
0.231812,0.231812,0.231812,0.231812
0.231812,0.231812,0.231812,0.231812
0.232056,0.232056,0.232056,0.232056
0.230835,0.230835,0.230835,0.230835
0.229736,0.229736,0.229736,0.229736
0.230347,0.230347,0.230347,0.230347
0.229492,0.229492,0.229492,0.229492
0.230103,0.230103,0.230103,0.230103
0.22998,0.22998,0.22998,0.22998
0.230469,0.230469,0.230469,0.230469
0.230591,0.230591,0.230591,0.230591
0.228516,0.228516,0.228516,0.228516
0.228271,0.228271,0.228271,0.228271
0.228271,0.228271,0.228271,0.228271
0.227783,0.227783,0.227783,0.227783
0.228271,0.228271,0.228271,0.228271
0.228027,0.228027,0.228027,0.228027
0.228271,0.228271,0.228271,0.228271
0.228027,0.228027,0.228027,0.228027
0.226074,0.226074,0.226074,0.226074
0.226562,0.226562,0.226562,0.226562
0.226318,0.226318,0.226318,0.226318
0.226562,0.226562,0.226562,0.226562
0.226318,0.226318,0.226318,0.226318
0.226318,0.226318,0.226318,0.226318
0.226318,0.226318,0.226318,0.226318
0.224731,0.224731,0.224731,0.224731
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.224121,0.224121,0.224121,0.224121
0.22229,0.22229,0.22229,0.22229
0.222046,0.222046,0.222046,0.222046
0.221802,0.221802,0.221802,0.221802
0.221558,0.221558,0.221558,0.221558
0.221802,0.221802,0.221802,0.221802
0.221802,0.221802,0.221802,0.221802
0.221924,0.221924,0.221924,0.221924
0.221069,0.221069,0.221069,0.221069
0.219482,0.219482,0.219482,0.219482
0.219849,0.219849,0.219849,0.219849
0.219849,0.219849,0.219849,0.219849
0.219604,0.219604,0.219604,0.219604
0.219727,0.219727,0.219727,0.219727
0.219727,0.219727,0.219727,0.219727
0.219727,0.219727,0.219727,0.219727
0.218506,0.218506,0.218506,0.218506
0.217773,0.217773,0.217773,0.217773
0.217896,0.217896,0.217896,0.217896
0.217896,0.217896,0.217896,0.217896
0.218018,0.218018,0.218018,0.218018
0.218384,0.218384,0.218384,0.218384
0.21814,0.21814,0.21814,0.21814
0.217773,0.217773,0.217773,0.217773
0.215698,0.215698,0.215698,0.215698
0.215942,0.215942,0.215942,0.215942
0.215454,0.215454,0.215454,0.215454
0.21582,0.21582,0.21582,0.21582
0.215698,0.215698,0.215698,0.215698
0.215576,0.215576,0.215576,0.215576
0.215332,0.215332,0.215332,0.215332
0.2146,0.2146,0.2146,0.2146
0.213989,0.213989,0.213989,0.213989
0.213745,0.213745,0.213745,0.213745
0.213379,0.213379,0.213379,0.213379
0.213379,0.213379,0.213379,0.213379
0.213745,0.213745,0.213745,0.213745
0.213501,0.213501,0.213501,0.213501
0.213257,0.213257,0.213257,0.213257
0.212036,0.212036,0.212036,0.212036
0.211792,0.211792,0.211792,0.211792
0.211792,0.211792,0.211792,0.211792
0.212036,0.212036,0.212036,0.212036
0.212402,0.212402,0.212402,0.212402
0.211792,0.211792,0.211792,0.211792
0.21167,0.21167,0.21167,0.21167
0.211548,0.211548,0.211548,0.211548
0.209961,0.209961,0.209961,0.209961
0.210205,0.210205,0.210205,0.210205
0.209839,0.209839,0.209839,0.209839
0.209961,0.209961,0.209961,0.209961
0.210083,0.210083,0.210083,0.210083
0.209839,0.209839,0.209839,0.209839
0.210083,0.210083,0.210083,0.210083
0.208618,0.208618,0.208618,0.208618
0.207642,0.207642,0.207642,0.207642
0.20752,0.20752,0.20752,0.20752
0.207886,0.207886,0.207886,0.207886
0.207886,0.207886,0.207886,0.207886
0.207886,0.207886,0.207886,0.207886
0.207764,0.207764,0.207764,0.207764
0.207764,0.207764,0.207764,0.207764
0.205811,0.205811,0.205811,0.205811
0.205811,0.205811,0.205811,0.205811
0.205688,0.205688,0.205688,0.205688
0.205566,0.205566,0.205566,0.205566
0.205566,0.205566,0.205566,0.205566
0.205811,0.205811,0.205811,0.205811
0.205811,0.205811,0.205811,0.205811
0.205688,0.205688,0.205688,0.205688
0.203125,0.203125,0.203125,0.203125
0.203613,0.203613,0.203613,0.203613
0.203613,0.203613,0.203613,0.203613
0.203613,0.203613,0.203613,0.203613
0.203613,0.203613,0.203613,0.203613
0.203979,0.203979,0.203979,0.203979
0.203979,0.203979,0.203979,0.203979
0.202637,0.202637,0.202637,0.202637
0.201904,0.201904,0.201904,0.201904
0.202026,0.202026,0.202026,0.202026
0.201782,0.201782,0.201782,0.201782
0.201904,0.201904,0.201904,0.201904
0.20166,0.20166,0.20166,0.20166
0.201782,0.201782,0.201782,0.201782
0.201782,0.201782,0.201782,0.201782
0.199707,0.199707,0.199707,0.199707
0.199829,0.199829,0.199829,0.199829
0.199951,0.199951,0.199951,0.199951
0.199341,0.199341,0.199341,0.199341
0.199707,0.199707,0.199707,0.199707
0.199341,0.199341,0.199341,0.199341
0.199707,0.199707,0.199707,0.199707
0.198853,0.198853,0.198853,0.198853
0.197266,0.197266,0.197266,0.197266
0.197632,0.197632,0.197632,0.197632
0.197998,0.197998,0.197998,0.197998
0.198364,0.198364,0.198364,0.198364
0.197754,0.197754,0.197754,0.197754
0.197632,0.197632,0.197632,0.197632
0.197876,0.197876,0.197876,0.197876
0.195923,0.195923,0.195923,0.195923
0.196045,0.196045,0.196045,0.196045
0.195801,0.195801,0.195801,0.195801
0.196167,0.196167,0.196167,0.196167
0.196167,0.196167,0.196167,0.196167
0.195557,0.195557,0.195557,0.195557
0.196045,0.196045,0.196045,0.196045
0.195801,0.195801,0.195801,0.195801
0.193359,0.193359,0.193359,0.193359
0.193848,0.193848,0.193848,0.193848
0.193848,0.193848,0.193848,0.193848
0.193848,0.193848,0.193848,0.193848
0.193848,0.193848,0.193848,0.193848
0.193848,0.193848,0.193848,0.193848
0.193726,0.193726,0.193726,0.193726
0.192627,0.192627,0.192627,0.192627
0.191772,0.191772,0.191772,0.191772
0.19165,0.19165,0.19165,0.19165
0.19165,0.19165,0.19165,0.19165
0.191528,0.191528,0.191528,0.191528
0.191528,0.191528,0.191528,0.191528
0.191528,0.191528,0.191528,0.191528
0.19165,0.19165,0.19165,0.19165
0.189697,0.189697,0.189697,0.189697
0.189575,0.189575,0.189575,0.189575
0.189697,0.189697,0.189697,0.189697
0.189941,0.189941,0.189941,0.189941
0.189697,0.189697,0.189697,0.189697
0.189453,0.189453,0.189453,0.189453
0.189697,0.189697,0.189697,0.189697
0.188843,0.188843,0.188843,0.188843
0.187256,0.187256,0.187256,0.187256
0.187134,0.187134,0.187134,0.187134
0.187256,0.187256,0.187256,0.187256
0.187378,0.187378,0.187378,0.187378
0.187378,0.187378,0.187378,0.187378
0.1875,0.1875,0.1875,0.1875
0.187378,0.187378,0.187378,0.187378
0.18689,0.18689,0.18689,0.18689
0.185791,0.185791,0.185791,0.185791
0.185669,0.185669,0.185669,0.185669
0.185669,0.185669,0.185669,0.185669
0.186279,0.186279,0.186279,0.186279
0.185913,0.185913,0.185913,0.185913
0.185303,0.185303,0.185303,0.185303
0.186035,0.186035,0.186035,0.186035
0.18335,0.18335,0.18335,0.18335
0.182983,0.182983,0.182983,0.182983
0.183594,0.183594,0.183594,0.183594
0.183228,0.183228,0.183228,0.183228
0.182739,0.182739,0.182739,0.182739
0.183105,0.183105,0.183105,0.183105
0.183105,0.183105,0.183105,0.183105
0.182251,0.182251,0.182251,0.182251
0.18103,0.18103,0.18103,0.18103
0.181519,0.181519,0.181519,0.181519
0.18103,0.18103,0.18103,0.18103
0.181152,0.181152,0.181152,0.181152
0.181519,0.181519,0.181519,0.181519
0.181274,0.181274,0.181274,0.181274
0.181274,0.181274,0.181274,0.181274
0.179565,0.179565,0.179565,0.179565
0.179443,0.179443,0.179443,0.179443
0.179321,0.179321,0.179321,0.179321
0.17981,0.17981,0.17981,0.17981
0.179565,0.179565,0.179565,0.179565
0.179443,0.179443,0.179443,0.179443
0.17981,0.17981,0.17981,0.17981
0.179688,0.179688,0.179688,0.179688
0.17749,0.17749,0.17749,0.17749
0.177612,0.177612,0.177612,0.177612
0.177368,0.177368,0.177368,0.177368
0.177612,0.177612,0.177612,0.177612
0.177368,0.177368,0.177368,0.177368
0.177612,0.177612,0.177612,0.177612
0.177612,0.177612,0.177612,0.177612
0.176636,0.176636,0.176636,0.176636
0.175659,0.175659,0.175659,0.175659
0.175537,0.175537,0.175537,0.175537
0.175537,0.175537,0.175537,0.175537
0.175293,0.175293,0.175293,0.175293
0.175293,0.175293,0.175293,0.175293
0.175415,0.175415,0.175415,0.175415
0.175415,0.175415,0.175415,0.175415
0.173706,0.173706,0.173706,0.173706
0.173218,0.173218,0.173218,0.173218
0.17334,0.17334,0.17334,0.17334
0.172974,0.172974,0.172974,0.172974
