,0,1,2,3,4
0,0.280753,0.280753,0.280753,0.280753,0.280753
1,0.281042,0.281042,0.281042,0.281042,0.281042
2,0.281186,0.281186,0.281186,0.281186,0.281186
3,0.281475,0.281475,0.281475,0.281475,0.281475
4,0.281764,0.281764,0.281764,0.281764,0.281764
5,0.282486,0.282486,0.282486,0.282486,0.282486
6,0.282486,0.282486,0.282486,0.282486,0.282486
7,0.282919,0.282919,0.282919,0.282919,0.282919
8,0.282919,0.282919,0.282919,0.282919,0.282919
9,0.283497,0.283497,0.283497,0.283497,0.283497
10,0.283497,0.283497,0.283497,0.283497,0.283497
11,0.284219,0.284219,0.284219,0.284219,0.284219
12,0.28393,0.28393,0.28393,0.28393,0.28393
13,0.284219,0.284219,0.284219,0.284219,0.284219
14,0.284941,0.284941,0.284941,0.284941,0.284941
15,0.285086,0.285086,0.285086,0.285086,0.285086
16,0.28523,0.28523,0.28523,0.28523,0.28523
17,0.28523,0.28523,0.28523,0.28523,0.28523
18,0.285808,0.285808,0.285808,0.285808,0.285808
19,0.286241,0.286241,0.286241,0.286241,0.286241
20,0.286241,0.286241,0.286241,0.286241,0.286241
21,0.286963,0.286963,0.286963,0.286963,0.286963
22,0.287252,0.287252,0.287252,0.287252,0.287252
23,0.287396,0.287396,0.287396,0.287396,0.287396
24,0.287974,0.287974,0.287974,0.287974,0.287974
25,0.287974,0.287974,0.287974,0.287974,0.287974
26,0.288696,0.288696,0.288696,0.288696,0.288696
27,0.288552,0.288552,0.288552,0.288552,0.288552
28,0.289129,0.289129,0.289129,0.289129,0.289129
29,0.289274,0.289274,0.289274,0.289274,0.289274
30,0.289707,0.289707,0.289707,0.289707,0.289707
31,0.289851,0.289851,0.289851,0.289851,0.289851
32,0.290285,0.290285,0.290285,0.290285,0.290285
33,0.290574,0.290574,0.290574,0.290574,0.290574
34,0.290574,0.290574,0.290574,0.290574,0.290574
35,0.291151,0.291151,0.291151,0.291151,0.291151
36,0.291007,0.291007,0.291007,0.291007,0.291007
