,0,1,2,3,4
0,0.241626,0.241626,0.241626,0.241626,0.241626
1,0.241358,0.241358,0.241358,0.241358,0.241358
2,0.240149,0.240149,0.240149,0.240149,0.240149
3,0.239209,0.239209,0.239209,0.239209,0.239209
4,0.23894,0.23894,0.23894,0.23894,0.23894
5,0.238806,0.238806,0.238806,0.238806,0.238806
6,0.239746,0.239746,0.239746,0.239746,0.239746
7,0.239612,0.239612,0.239612,0.239612,0.239612
8,0.239343,0.239343,0.239343,0.239343,0.239343
9,0.238269,0.238269,0.238269,0.238269,0.238269
10,0.237597,0.237597,0.237597,0.237597,0.237597
11,0.238672,0.238672,0.238672,0.238672,0.238672
12,0.239209,0.239209,0.239209,0.239209,0.239209
13,0.239477,0.239477,0.239477,0.239477,0.239477
14,0.239612,0.239612,0.239612,0.239612,0.239612
15,0.239477,0.239477,0.239477,0.239477,0.239477
16,0.238,0.238,0.238,0.238,0.238
17,0.237731,0.237731,0.237731,0.237731,0.237731
18,0.238,0.238,0.238,0.238,0.238
19,0.238806,0.238806,0.238806,0.238806,0.238806
20,0.23894,0.23894,0.23894,0.23894,0.23894
21,0.237866,0.237866,0.237866,0.237866,0.237866
22,0.236791,0.236791,0.236791,0.236791,0.236791
23,0.235985,0.235985,0.235985,0.235985,0.235985
24,0.237194,0.237194,0.237194,0.237194,0.237194
25,0.238403,0.238403,0.238403,0.238403,0.238403
26,0.239209,0.239209,0.239209,0.239209,0.239209
27,0.239477,0.239477,0.239477,0.239477,0.239477
28,0.238672,0.238672,0.238672,0.238672,0.238672
29,0.237194,0.237194,0.237194,0.237194,0.237194
30,0.235851,0.235851,0.235851,0.235851,0.235851
31,0.235448,0.235448,0.235448,0.235448,0.235448
32,0.236791,0.236791,0.236791,0.236791,0.236791
33,0.23706,0.23706,0.23706,0.23706,0.23706
34,0.236254,0.236254,0.236254,0.236254,0.236254
35,0.235179,0.235179,0.235179,0.235179,0.235179
36,0.235045,0.235045,0.235045,0.235045,0.235045
37,0.235985,0.235985,0.235985,0.235985,0.235985
38,0.237328,0.237328,0.237328,0.237328,0.237328
39,0.237194,0.237194,0.237194,0.237194,0.237194
40,0.237463,0.237463,0.237463,0.237463,0.237463
41,0.236791,0.236791,0.236791,0.236791,0.236791
42,0.235448,0.235448,0.235448,0.235448,0.235448
43,0.235045,0.235045,0.235045,0.235045,0.235045
44,0.235045,0.235045,0.235045,0.235045,0.235045
45,0.235448,0.235448,0.235448,0.235448,0.235448
46,0.235717,0.235717,0.235717,0.235717,0.235717
47,0.235045,0.235045,0.235045,0.235045,0.235045
48,0.234239,0.234239,0.234239,0.234239,0.234239
49,0.233702,0.233702,0.233702,0.233702,0.233702
50,0.234105,0.234105,0.234105,0.234105,0.234105
51,0.235179,0.235179,0.235179,0.235179,0.235179
52,0.235448,0.235448,0.235448,0.235448,0.235448
53,0.235717,0.235717,0.235717,0.235717,0.235717
54,0.235314,0.235314,0.235314,0.235314,0.235314
55,0.234508,0.234508,0.234508,0.234508,0.234508
56,0.233836,0.233836,0.233836,0.233836,0.233836
57,0.234105,0.234105,0.234105,0.234105,0.234105
58,0.234374,0.234374,0.234374,0.234374,0.234374
59,0.234911,0.234911,0.234911,0.234911,0.234911
60,0.233836,0.233836,0.233836,0.233836,0.233836
61,0.232896,0.232896,0.232896,0.232896,0.232896
62,0.232896,0.232896,0.232896,0.232896,0.232896
63,0.233433,0.233433,0.233433,0.233433,0.233433
64,0.234642,0.234642,0.234642,0.234642,0.234642
65,0.234911,0.234911,0.234911,0.234911,0.234911
66,0.235045,0.235045,0.235045,0.235045,0.235045
67,0.234374,0.234374,0.234374,0.234374,0.234374
68,0.232762,0.232762,0.232762,0.232762,0.232762
69,0.232225,0.232225,0.232225,0.232225,0.232225
70,0.23209,0.23209,0.23209,0.23209,0.23209
71,0.232493,0.232493,0.232493,0.232493,0.232493
72,0.232762,0.232762,0.232762,0.232762,0.232762
