,0,1,2,3,4
0,0.236791,0.236791,0.236791,0.236791,0.236791
1,0.237194,0.237194,0.237194,0.237194,0.237194
2,0.235985,0.235985,0.235985,0.235985,0.235985
3,0.235314,0.235314,0.235314,0.235314,0.235314
4,0.235179,0.235179,0.235179,0.235179,0.235179
5,0.235045,0.235045,0.235045,0.235045,0.235045
6,0.23612,0.23612,0.23612,0.23612,0.23612
7,0.23612,0.23612,0.23612,0.23612,0.23612
8,0.234911,0.234911,0.234911,0.234911,0.234911
9,0.233299,0.233299,0.233299,0.233299,0.233299
10,0.23303,0.23303,0.23303,0.23303,0.23303
11,0.233971,0.233971,0.233971,0.233971,0.233971
12,0.235179,0.235179,0.235179,0.235179,0.235179
13,0.235985,0.235985,0.235985,0.235985,0.235985
14,0.236254,0.236254,0.236254,0.236254,0.236254
15,0.235448,0.235448,0.235448,0.235448,0.235448
16,0.235179,0.235179,0.235179,0.235179,0.235179
17,0.233433,0.233433,0.233433,0.233433,0.233433
18,0.233165,0.233165,0.233165,0.233165,0.233165
19,0.233568,0.233568,0.233568,0.233568,0.233568
20,0.234777,0.234777,0.234777,0.234777,0.234777
21,0.233433,0.233433,0.233433,0.233433,0.233433
22,0.232896,0.232896,0.232896,0.232896,0.232896
23,0.232493,0.232493,0.232493,0.232493,0.232493
24,0.233299,0.233299,0.233299,0.233299,0.233299
25,0.234642,0.234642,0.234642,0.234642,0.234642
26,0.235045,0.235045,0.235045,0.235045,0.235045
27,0.234374,0.234374,0.234374,0.234374,0.234374
28,0.23303,0.23303,0.23303,0.23303,0.23303
29,0.232359,0.232359,0.232359,0.232359,0.232359
30,0.231822,0.231822,0.231822,0.231822,0.231822
31,0.232225,0.232225,0.232225,0.232225,0.232225
32,0.233165,0.233165,0.233165,0.233165,0.233165
33,0.232896,0.232896,0.232896,0.232896,0.232896
34,0.232762,0.232762,0.232762,0.232762,0.232762
35,0.231553,0.231553,0.231553,0.231553,0.231553
36,0.230882,0.230882,0.230882,0.230882,0.230882
37,0.231553,0.231553,0.231553,0.231553,0.231553
38,0.232493,0.232493,0.232493,0.232493,0.232493
39,0.232762,0.232762,0.232762,0.232762,0.232762
40,0.232896,0.232896,0.232896,0.232896,0.232896
41,0.232762,0.232762,0.232762,0.232762,0.232762
42,0.231284,0.231284,0.231284,0.231284,0.231284
43,0.230747,0.230747,0.230747,0.230747,0.230747
44,0.230747,0.230747,0.230747,0.230747,0.230747
45,0.231419,0.231419,0.231419,0.231419,0.231419
46,0.231419,0.231419,0.231419,0.231419,0.231419
47,0.230613,0.230613,0.230613,0.230613,0.230613
48,0.229941,0.229941,0.229941,0.229941,0.229941
